,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,length_diff_abs,token_count_old,token_count_new,token_overlap,old_in_new,new_in_old,levenshtein_distance,edit_distance_ratio,complete_replacement,structure_similarity,high_token_overlap,char_insertions,char_deletions,adjacent_char_swap,avg_word_similarity,has_significant_prefix,has_significant_suffix,full_cosine_similarity
29,408637126,245145,Zwyssig,label,,-1,label,"""Zwyssig (surname)""",,"""Zwyssig""",,string,UPDATE,PROPERTY_VALUE,family name,family name,,,unrefinement,,10,2,1,0.5,0,1,10,0.5882352941176471,0,0.5,0,0,9,0,4.5,1,0,0.95693576
30,1981334871,200198,Coat of arms of Vatican City,description,,-2,description,"""coat of arms of Vatican City""",,"""coat of arms""",,string,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,16,6,3,0.6,0,1,16,0.5714285714285714,0,0.5,0,0,6,0,3.3333333333333335,1,0,0.98766565
32,141871873,238110,Joe FM,label,,-1,label,"""Joe FM (Belgium)""",,"""Joe FM""",,string,UPDATE,PROPERTY_VALUE,radio station,Belgian pop radio station,,,unrefinement,,10,3,2,0.6666666666666666,0,1,10,0.625,0,0.6666666666666667,0,0,8,0,3.8333333333333335,1,0,0.9907267
41,510956404,30348676,Concrete and Gold,description,,-2,description,"""album by Foo Fighters""",,"""Foo Fighters album""",,string,UPDATE,PROPERTY_VALUE,,,,,rewording,,3,4,3,0.75,0,0,15,0.7142857142857143,0,0.75,0,0,1,0,4.583333333333333,0,0,0.9878589
43,1778147422,46145576,Ephrem Engidawork,description,,-2,,"""researcher""",,"""Ethiopian pharmacologist""",,string,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,14,1,2,0.0,0,0,21,0.875,1,0.5,0,16,3,0,11.5,0,0,0.755946
52,1258229604,5106971,Chris Isaak discography,description,,-2,,"""Musical recordings by Chris Isaak.""",,"""artist discography""",,string,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,16,5,2,0.0,0,0,27,0.7941176470588235,1,0.4,0,3,10,0,7.7,0,0,0.8860853
53,1239681887,47509669,Methuselah Mouse Prize,description,,-2,description,"""price""",,"""prize""",,string,UPDATE,PROPERTY_VALUE,,,,,textual_change,,0,1,1,0.0,0,0,1,0.2,1,1.0,0,1,1,0,1.0,1,0,0.9376434
58,119299735,313224,Baasha,label,,-1,label,"""Baasha of Israel""",,"""Baasha""",,string,UPDATE,PROPERTY_VALUE,human,Third King of Israel (1 Kings 16),,,unrefinement,,10,3,1,0.3333333333333333,0,1,10,0.625,0,0.33333333333333337,0,0,8,0,4.0,1,0,0.9879066
59,618126024,187159,Jordi Alba,label,,-1,label,"""Jordi Alba""",,"""Jorge Alba""",,string,UPDATE,PROPERTY_VALUE,human,Spanish association football player,,,textual_change,,0,2,2,0.3333333333333333,0,0,2,0.2,0,1.0,0,2,2,0,3.0,1,1,0.98187655
61,1022427230,19869131,Oscorp,description,,-2,,"""oscorp""",,"""Fictional corporation""",,string,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,15,1,2,0.0,0,0,16,0.7619047619047619,1,0.5,0,12,1,0,7.5,0,0,0.883074
64,1314371361,19859219,Adrien Louis Bruneau,description,,-2,description,"""French painter and watercolourist""",,"""French painter and watercolorist""",,string,UPDATE,PROPERTY_VALUE,,,,,rewording,,1,4,4,0.6,0,0,1,0.030303030303030304,0,1.0,0,0,1,0,6.5,1,1,0.9561872
69,1734855479,5105949,Chris Boyce,description,,-2,,"""British writer""",,"""Scottish science fiction author""",,string,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,17,2,4,0.0,0,0,23,0.7419354838709677,1,0.5,0,13,2,0,5.625,0,0,0.89467657
71,1265701648,299171,Argent,label,,-1,label,"""Argent family""",,"""Argent""",,string,UPDATE,PROPERTY_VALUE,Wikimedia disambiguation page,Wikimedia disambiguation page,,,unrefinement,,7,2,1,0.5,0,1,7,0.5384615384615384,0,0.5,0,0,7,0,3.0,1,0,0.96250963
73,1593506812,111223088,Mark Lea Willcox,description,,-2,description,"""Georgia state legislator""",,"""Georgia state legislator and general""",,string,UPDATE,PROPERTY_VALUE,human,Georgia state legislator and general,,,refinement,,12,3,5,0.6,1,0,12,0.3333333333333333,0,0.6,0,3,0,0,5.666666666666667,1,0,0.994776
74,2273466828,103097,Reinhart Lempp,description,,-2,description,"""German child psychiatrist""",,"""German child psychiatrist (1923–2012)""",,string,UPDATE,PROPERTY_VALUE,human,German child psychiatrist (1923–2012),,,refinement,,12,3,4,0.75,1,0,12,0.32432432432432434,0,0.75,0,11,0,0,7.166666666666667,1,0,0.99183637
76,1593235818,111219740,PTK,description,,-2,description,"""czech Rapper""",,"""czech rapper""",,string,UPDATE,PROPERTY_VALUE,human,Czech rapper,,,re_formatting,,0,2,2,0.3333333333333333,0,0,0,0.0,0,1.0,0,0,1,0,3.25,1,1,0.9935799
81,2189984151,5091387,Chengyu Expressway,description,,-2,description,"""Road in China""",,"""road in China""",,string,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0,3,3,0.5,0,0,0,0.0,0,1.0,0,1,1,0,2.7777777777777777,0,1,0.9910808
83,2038394794,104475,Gallienus,q104475$F9B584B3-9666-456F-971F-6D7EF1A3CDAD,,213,ISNI,"""0000 0000 8090 3664""",,"""0000000080903664""",,string,UPDATE,PROPERTY_VALUE,human,Roman emperor (218-268),,,re_formatting,,3,4,1,0.0,0,0,3,0.15789473684210525,1,0.25,0,0,3,0,12.0,1,1,0.9849334
89,33017964,2005,JavaScript,description,,-2,description,"""usually browser-based scripting language""",,"""programming language usually used for browser scripting""",,string,UPDATE,PROPERTY_VALUE,"computing platform, event-driven programming language, functional programming language, high-level programming language, imperative programming language, interpreted language, multi-paradigm programming language, programming language, prototype-based programming language, scripting language, strict programming language",high-level programming language,,,"refinement, rewording",,15,4,7,0.375,0,0,42,0.7636363636363637,0,0.5714285714285714,0,3,1,0,7.607142857142857,0,0,0.9909024
111,1180609767,1208581,Diamantina Deep,description,,-2,description,"""one of the deepest points in the Indian Ocean""",,"""was considered one of the deepest points in the Indian Ocean""",,string,UPDATE,PROPERTY_VALUE,,,,,refinement,,15,9,11,0.8,1,0,15,0.25,0,0.8181818181818181,0,2,0,0,4.404040404040404,0,1,0.9904629
112,291051553,1066,Lake Superior,description,,-2,description,"""biggest of the Great Lakes of North America, the biggest freshwater lake on the Earth""",,"""largest of the Great Lakes of North America""",,string,UPDATE,PROPERTY_VALUE,"glacial lake, lake, rift lake",largest of the Great Lakes of North America,,,"textual_change, unrefinement",,42,15,8,0.38461538461538464,0,0,45,0.5294117647058824,0,0.5333333333333333,0,0,6,0,4.758333333333334,0,0,0.97781056
122,2038434772,110567,Kathinka Zitz-Halein,q110567$D118BD98-85EC-4276-AD12-1122326AF27A,,213,ISNI,"""0000 0000 2857 0129""",,"""0000000028570129""",,string,UPDATE,PROPERTY_VALUE,human,German writer (1801–1877),,,re_formatting,,3,4,1,0.0,0,0,3,0.15789473684210525,1,0.25,0,0,3,0,12.0,1,1,0.9859499
123,341822089,271314,Kristina Lugn,Q271314$A7B348B5-B85F-40ED-878B-E5CF5235F541,,1015,NORAF ID,"""x90251174""",,"""90251174""",,string,UPDATE,PROPERTY_VALUE,human,"Swedish poet, member of the Swedish Academy (1948–2020)",,,re_formatting,,1,1,1,0.0,0,1,1,0.1111111111111111,0,1.0,0,0,1,0,1.0,0,1,0.995946
124,102740111,35149,Wilhelm Röntgen,Q35149$0B4C5CEA-6042-4264-93B8-FF4BD05081BC,,409,Libraries Australia ID,"""000035460898""",,"""35460898""",,string,UPDATE,PROPERTY_VALUE,human,German physicist (1845–1923),,,re_formatting,,4,1,1,0.0,0,1,4,0.3333333333333333,0,1.0,0,0,0,0,4.0,0,1,0.9952524
125,492001833,241656,Incubation,label,,-1,label,"""Incubation (ritual)""",,"""Incubation""",,string,UPDATE,PROPERTY_VALUE,Wikimedia disambiguation page,Wikimedia disambiguation page,,,unrefinement,,9,2,1,0.5,0,1,9,0.47368421052631576,0,0.5,0,0,5,0,4.5,1,0,0.96346533
141,213536807,19842168,René Ribollet,description,,-2,description,"""french architect""",,"""French architect""",,string,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0,2,2,0.3333333333333333,0,0,0,0.0,0,1.0,0,1,1,0,3.75,0,1,0.98925567
143,138005109,8261,novel,description,,-2,description,"""genre, long prose narrative that usually describes fiction in the form of a sequential story""",,"""narrative text of some length, normally in the form of prose describing a fictional and a sequential story""",,string,UPDATE,PROPERTY_VALUE,"literary form, literary genre, narration, work of fiction","narrative text, normally of a substantial length and in the form of prose describing a fictional and sequential story",,,rewording,"narration, work of fiction",14,15,18,0.4090909090909091,0,0,66,0.6226415094339622,0,0.8333333333333334,0,1,0,0,5.7407407407407405,0,1,0.9917982
155,276902774,158409,977 Philippa,description,,-2,description,"""asteroid""",,"""main-belt asteroid""",,string,UPDATE,PROPERTY_VALUE,asteroid,main-belt asteroid,,,refinement,,10,1,2,0.5,1,0,10,0.5555555555555556,0,0.5,0,6,0,0,4.0,0,1,0.9856019
165,1077303408,26141,Carlos María Franzini,description,,-2,description,"""Argentinian bishop""",,"""Argentinian archbishop""",,string,UPDATE,PROPERTY_VALUE,human,Argentinian archbishop (1951-2017),,,refinement,,4,2,2,0.3333333333333333,0,0,4,0.18181818181818182,0,1.0,0,1,0,0,5.75,1,1,0.9884585
166,264673761,99119,Adolf Richter,description,,-2,description,"""human""",,"""german chemist""",,string,UPDATE,PROPERTY_VALUE,human,German chemist (1839–1914),,,refinement,,9,1,2,0.0,0,0,11,0.7857142857142857,1,0.5,0,9,1,0,4.0,0,0,0.97621834
172,3747808,242,Belize,description,,-2,description,"""a country in North America""",,"""a country in Central America""",,string,UPDATE,PROPERTY_VALUE,"Commonwealth realm, country, sovereign state",sovereign state in Central America,,,property_value_update,,2,5,5,0.6666666666666666,0,0,5,0.17857142857142858,0,1.0,0,2,2,0,4.72,1,1,0.98896295
174,203347625,308320,Abdon,label,,-1,label,"""Abdon (Judges)""",,"""Abdon""",,string,UPDATE,PROPERTY_VALUE,human biblical figure,"male human biblical figure in Judges 12:13-15, judge of Israel",,,unrefinement,,9,2,1,0.5,0,1,9,0.6428571428571429,0,0.5,0,0,8,0,3.5,1,0,0.9917809
177,1637314519,367163,Lions for Lambs,description,,-2,description,"""2007 thriller movie on the war in Afghanistan directed by Robert Redford""",,"""2007 film directed by Robert Redford""",,string,UPDATE,PROPERTY_VALUE,film,2007 film directed by Robert Redford,,,unrefinement,,36,12,6,0.38461538461538464,0,0,37,0.5138888888888888,0,0.5,0,0,15,0,5.680555555555555,1,1,0.95896316
178,769523563,5094647,intensive care unit,description,,-2,description,"""hospital department that provides intensive-care medicine""",,"""hospital department that provides intensive care medicine""",,string,UPDATE,PROPERTY_VALUE,,,,,re_formatting,hospital department,0,6,7,0.625,0,0,1,0.017543859649122806,0,0.8571428571428572,0,0,1,0,7.285714285714286,1,1,0.9936309
179,530197577,8682,Real Madrid CF,description,,-2,description,"""Spanish association football club""",,"""Carcel de maxima seguridad""",,string,UPDATE,PROPERTY_VALUE,association football club,"association football club in Madrid, Spain",,,property_value_update,,7,4,4,0.0,0,0,28,0.8484848484848485,1,1.0,0,13,14,0,7.5625,0,0,0.964076
187,2309231898,32360945,Klingenberg,description,,-2,description,"""Russian nobel family""",,"""Russian noble family""",,string,UPDATE,PROPERTY_VALUE,,,,,textual_change,,0,3,3,0.5,0,0,2,0.1,0,1.0,0,0,0,1,4.222222222222222,1,1,0.9181167
188,992043392,18512,Forest Green Rovers F.C.,description,,-2,description,"""English association football club""",,"""association football club in Nailsworth, England""",,string,UPDATE,PROPERTY_VALUE,"association football club, organization","association football club in Nailsworth, England",,,"refinement, rewording",,15,4,6,0.42857142857142855,0,0,31,0.6458333333333334,0,0.6666666666666667,0,5,0,0,7.041666666666667,0,0,0.99208844
193,1304868897,185351,jurist,Q185351$77201a54-468d-caa2-7a75-d40599d6d848,,2521,female form of label,"""юристка""",,"""юрист""",,monolingualtext,UPDATE,PROPERTY_VALUE,"academic degree, legal profession, professional","legal scholar or academic, a professional who studies, teaches, and develops law",,,property_value_update,professional,2,1,1,0.0,0,1,2,0.2857142857142857,0,1.0,0,0,2,0,2.0,1,0,0.9961761
194,1879171568,7555,Jude Milhon,description,,-2,description,"""American hacker & author""",,"""American hacker and author""",,string,UPDATE,PROPERTY_VALUE,human,American hacker and author (1939–2003),,,re_formatting,,2,4,4,0.6,0,0,3,0.11538461538461539,0,1.0,0,1,1,0,5.125,1,1,0.99282146
196,5800390,1546,Iowa,description,,-2,description,"""A state in the US Midwest""",,"""state in the US Midwest""",,string,UPDATE,PROPERTY_VALUE,U.S. state,state of the United States of America,,,re_formatting,,2,6,5,0.8333333333333334,0,1,2,0.08,0,0.8333333333333334,1,0,1,0,3.7,0,1,0.9946286
201,2039765013,261556,Rachel Roberts,Q261556$664B7F9D-8089-4914-96C4-50F754FADB19,,213,ISNI,"""0000 0000 5210 9236""",,"""0000000052109236""",,string,UPDATE,PROPERTY_VALUE,human,Canadian actor and model,,,re_formatting,,3,4,1,0.0,0,0,3,0.15789473684210525,1,0.25,0,0,3,0,12.0,1,1,0.9853729
202,1570549140,319963,waste treatment technologies,description,,-2,description,"""Technology of water treatment""",,"""types of solid waste treatment techniques employed in waste management infrastructure""",,string,UPDATE,PROPERTY_VALUE,"technology, type of technology",types of solid waste treatment techniques employed in waste management infrastructure,,,refinement,technology,56,4,11,0.16666666666666666,0,0,67,0.788235294117647,0,0.36363636363636365,0,18,1,0,7.2272727272727275,0,0,0.9739822
203,625298468,446902,Jan Garber,Q446902$C2A07266-1CE4-4A19-ACF8-E77E537612A9,,3192,Last.fm ID,"""Jan Garber""",,"""Jan+Garber""",,string,UPDATE,PROPERTY_VALUE,human,American musician (1894-1977),,,re_formatting,,0,2,1,0.0,0,0,1,0.1,1,0.5,0,1,1,0,5.5,1,1,0.9873598
211,1379635020,197913,Zhongshan,label,,-1,label,"""Zhongshan (state)""",,"""Zhongshan""",,string,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,8,2,1,0.5,0,1,8,0.47058823529411764,0,0.5,0,0,6,0,4.5,1,0,0.93726003
212,1354871666,257634,Geʽez script,Q257634$cb024635-4702-484d-2bdb-058afc39b8b3,,5949,Unicode range,"""U+1200-137F,U+1380-139F,U+2D80-2DDF,U+AB00-AB2F""",,"""U+1200-137F""",,string,UPDATE,PROPERTY_VALUE,"abugida, natural writing system, unicase alphabet",script used for languages in Ethiopia and Eritrea,,,unrefinement,,36,1,1,0.0,0,1,36,0.7659574468085106,0,1.0,0,0,13,0,36.0,1,0,0.98788047
215,414812409,230,Georgia,description,,-2,description,"""republic in Eastern Europe""",,"""republic in Europe / Asia""",,string,UPDATE,PROPERTY_VALUE,"country, Rechtsstaat, republic, republic of the Soviet Union, sovereign state, transcontinental country, unitary state",country in the Caucasus,,,property_value_update,,1,4,5,0.5,0,0,12,0.46153846153846156,0,0.8,0,2,1,0,5.25,1,0,0.9932854
217,2039731993,235418,Joan of England,Q235418$C1CCAD87-9033-4770-96D4-DDB22EBF6F11,,213,ISNI,"""0000 0000 5700 0416""",,"""0000000057000416""",,string,UPDATE,PROPERTY_VALUE,human,Queen of Sicily (1165-1199),,,re_formatting,,3,4,1,0.0,0,0,3,0.15789473684210525,1,0.25,0,0,3,0,12.0,1,1,0.9842314
232,496473035,35,Denmark,description,,-2,description,"""Northern European Country""",,"""sovereign state and Scandinavian country in northern Europe""",,string,UPDATE,PROPERTY_VALUE,"autonomous country within the Kingdom of Denmark, colonial power, country, country bordering the Baltic Sea, state",country in Northern Europe and America,,,"refinement, rewording",,34,3,8,0.0,0,0,43,0.7288135593220338,1,0.375,0,14,2,0,6.416666666666667,0,0,0.9938168
238,904544150,255382,Princess Theodora of Greece and Denmark,label,,-1,label,"""Princess Theodora of Greece and Denmark""",,"""Theodora of Greece and Denmark""",,string,UPDATE,PROPERTY_VALUE,human,"Greco-Danish princess (1906-1969); sister of Prince Philip, Duke of Edinburgh",,,unrefinement,,9,6,5,0.8333333333333334,0,1,9,0.23076923076923078,0,0.8333333333333334,1,0,4,0,5.3,0,1,0.99647105
240,302816920,422288,Natriuretic peptide B,label,,-1,label,"""natriuretic peptide B""",,"""Natriuretic peptides B""",,string,UPDATE,PROPERTY_VALUE,"protein, protein precursor",mammalian protein found in Homo sapiens,,,re_formatting,,1,3,3,0.2,0,0,1,0.045454545454545456,0,1.0,0,2,1,0,6.333333333333333,0,0,0.99451363
242,980224127,48935,Chesterfield F.C.,description,,-2,description,"""English association football club""",,"""English association football club based in Chesterfield""",,string,UPDATE,PROPERTY_VALUE,association football club,"association football club in Chesterfield, England",,,refinement,,22,4,7,0.5714285714285714,1,0,22,0.4,0,0.5714285714285714,0,8,0,0,7.142857142857143,1,0,0.994959
245,35966881,9077,Moses,description,,-2,description,"""Jewish religious leader who lead his people out of slavery in Egypt to the promised land.""",,"""prophet wrote the Torah and lead Israelite people out of slavery in Egypt to the promised land""",,string,UPDATE,PROPERTY_VALUE,human biblical figure,Abrahamic prophet said to have led the Israelites out of Egypt,,,"refinement, rewording",,5,16,17,0.45454545454545453,0,0,32,0.3404255319148936,0,0.9411764705882353,0,2,2,0,5.036764705882353,0,0,0.9760091
246,2815558,76,Barack Obama,description,,-2,description,"""current President of the United States of America""",,"""44th President of the United States of America""",,string,UPDATE,PROPERTY_VALUE,human,president of the United States from 2009 to 2017,,,"refinement, property_value_update",,3,8,8,0.75,0,0,7,0.14285714285714285,0,1.0,0,2,1,0,5.28125,0,1,0.9763961
254,2176750853,421894,Prussian blue,Q421894$E70D57FD-058C-4463-B402-5F4EEAFE64C0,,715,DrugBank ID,"""DB06783""",,"""06783""",,string,UPDATE,PROPERTY_VALUE,"chemical compound, type of chemical entity",dark blue pigment,,,re_formatting,chemical compound,2,1,1,0.0,0,1,2,0.2857142857142857,0,1.0,0,0,2,0,2.0,0,1,0.984192
266,1688429643,111222647,Swofford Wildlife Area,description,,-2,description,"""wildlife area in Lewis County, Washington state, United States of America""",,"""state wildlife area in Lewis County, Washington state, United States of America""",,string,UPDATE,PROPERTY_VALUE,Washington State Wildlife Area,"state wildlife area in Lewis County, Washington state, United States of America",,,refinement,,6,11,12,0.9166666666666666,1,0,6,0.0759493670886076,0,0.9166666666666666,1,0,0,0,5.666666666666667,0,1,0.99941444
273,2283316024,111221779,Free Angela and All Political Prisoners,description,,-2,description,"""2013 film directed by Shola Lynch""",,"""2012 film directed by Shola Lynch""",,string,UPDATE,PROPERTY_VALUE,film,2012 film directed by Shola Lynch,,,property_value_update,,0,6,6,0.7142857142857143,0,0,1,0.030303030303030304,0,1.0,0,0,1,0,4.638888888888889,1,1,0.9936337
274,1740695398,320296,"Arthur Wellesley, 2nd Duke of Wellington",Q320296$C8B9C962-DEC9-4760-BD76-DB617F6CD2A1,,18,image,"""Arthur Wellesley Vanity Fair 22 June 1872.jpg""",,"""Arthur Wellesley, 2nd Duke of Wellington.jpg""",,string,UPDATE,PROPERTY_VALUE,human,Duke of Wellington (1807-1884),,,property_value_update,,1,7,6,0.08333333333333333,0,0,22,0.4888888888888889,0,0.8571428571428572,0,7,8,0,7.071428571428571,1,1,0.95006627
277,888415844,144349,1826 Miller,label,,-1,label,"""(1826) Miller""",,"""1826 Miller""",,string,UPDATE,PROPERTY_VALUE,asteroid,asteroid,,,re_formatting,,2,2,2,0.3333333333333333,0,0,2,0.15384615384615385,0,1.0,0,0,2,0,3.5,0,1,0.9881353
278,1155344302,9408,Barnet F.C.,description,,-2,description,"""English association football club""",,"""association football club in Edgware, England""",,string,UPDATE,PROPERTY_VALUE,association football club,"association football club in London, England",,,"refinement, rewording",,12,4,6,0.42857142857142855,0,0,28,0.6222222222222222,0,0.6666666666666667,0,6,1,0,6.708333333333333,0,0,0.97639024
280,260208822,83309,Johann Strauss II,description,,-2,description,"""Austrian composer""",,"""Austuriann composer""",,string,UPDATE,PROPERTY_VALUE,human,Austrian composer (1825-1899),,,textual_change,,2,2,2,0.3333333333333333,0,0,2,0.10526315789473684,0,1.0,0,0,0,0,5.0,1,1,0.9856947
287,96200261,167768,William Makepeace Thackeray,Q167768$C049E1A6-1E90-4A93-9BC8-9A365F5B4FC0,,409,Libraries Australia ID,"""000035544821""",,"""35544821""",,string,UPDATE,PROPERTY_VALUE,human,British novelist (1811–1863),,,re_formatting,,4,1,1,0.0,0,1,4,0.3333333333333333,0,1.0,0,0,4,0,4.0,0,1,0.9974981
290,1200156795,182276,Benito Juárez,Q182276$ebdda0aa-4e9b-04c4-12d8-b399068a73ca,,18,image,"""Benito Juarez (cropped).jpg""",,"""Benito Juarez 1.jpg""",,string,UPDATE,PROPERTY_VALUE,human,President of Mexico from 1858 to 1872,,,property_value_update,,8,3,3,0.5,0,0,9,0.3333333333333333,0,1.0,0,1,4,0,6.333333333333333,1,1,0.995657
302,218675203,7156,FC Barcelona,description,,-2,description,"""Spanish association football club""",,"""association football club in Barcelona, Spain""",,string,UPDATE,PROPERTY_VALUE,"men's association football club, men's association football team, professional sports team, representation team","multisports club in Barcelona, Spain",,,"refinement, rewording",,12,4,6,0.42857142857142855,0,0,28,0.6222222222222222,0,0.6666666666666667,0,4,1,0,6.833333333333333,0,0,0.9961659
305,200335498,421682,2-aminoethylphosphonic acid,label,,-1,label,"""Aminomethylphosphonic acid""",,"""Aminoethylphosphonic acid""",,string,UPDATE,PROPERTY_VALUE,"chemical compound, type of chemical entity",chemical compound,,,textual_change,chemical compound,1,2,2,0.3333333333333333,0,0,1,0.038461538461538464,0,1.0,0,0,0,0,10.0,1,1,0.9954274
325,710092375,113372,"Frederick Bianchi, Duke of Casalanza",Q113372$4A37BA28-9440-4E4F-B2A9-A3103F951846,,18,image,"""Vinzenz Ferrerius von Bianchi.jpg""",,"""Lithograph of Fedrigo Barone Bianchi.jpg""",,string,UPDATE,PROPERTY_VALUE,human,Austrian general (1768-1855),,,property_value_update,,7,4,5,0.125,0,0,20,0.5,0,0.8,0,4,6,0,7.5,0,1,0.95110637
327,349110748,15342,YSR district,label,,-1,label,"""Kapada""",,"""Kadapa""",,string,UPDATE,PROPERTY_VALUE,district of India,"district of Andhra Pradesh, India",,,property_value_update,,0,1,1,0.0,0,0,2,0.3333333333333333,1,1.0,0,0,0,0,2.0,0,0,0.9746883
336,673260733,10329,Sevilla FC,description,,-2,description,"""Spanish association football club""",,"""cerdos association football club""",,string,UPDATE,PROPERTY_VALUE,"association football club, professional sports team",Spanish professional football club based in Seville,,,property_value_update,,1,4,4,0.6,0,0,6,0.18181818181818182,0,1.0,0,3,3,0,6.5,0,1,0.979841
343,7413455,138219,list of governors of Odisha,label,,-1,label,"""List of Governors of Orissa""",,"""List of Governors of Odisha""",,string,UPDATE,PROPERTY_VALUE,Wikimedia list article,Wikimedia list article,,,textual_change,,0,5,5,0.6,0,0,2,0.07407407407407407,0,1.0,0,2,0,0,4.68,1,0,0.9743781
347,2170413845,2983255,José Asunción Silva,Q2983255$7D822597-0A32-4D81-9694-D30A0BE2C331,,135,movement,"""Q2738432""",,"""somevalue""",,unknown-values,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,1,1,1,0.0,0,0,9,1.0,1,1.0,0,9,8,0,9.0,0,0,0.8588655
348,704478324,3127,Föhr,description,,-2,description,"""German Island""",,"""island in Germany""",,string,UPDATE,PROPERTY_VALUE,island,"island in North Frisia, Germany",,,rewording,,4,2,3,0.0,0,0,12,0.7058823529411765,1,0.6666666666666667,0,3,1,0,3.6666666666666665,0,0,0.993383
352,1883477244,2983253,Estelle Bernadotte,description,,-2,,"""Wife of Count Folke Bernadotte (1904-1984)""",,"""American-Swedish countess""",,string,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,17,6,2,0.0,0,0,36,0.8571428571428571,1,0.33333333333333337,0,10,18,0,10.916666666666666,0,0,0.85035807
