,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,length_diff_abs,token_count_old,token_count_new,token_overlap,old_in_new,new_in_old,levenshtein_distance,edit_distance_ratio,complete_replacement,structure_similarity,high_token_overlap,full_cosine_similarity,label_cosine_similarity,description_cosine_similarity,new_value_part_of_old_value,old_value_part_of_new_value,new_value_subclass_old_value,old_value_subclass_new_value,new_value_has_parts_old_value,old_value_has_parts_new_value,new_value_located_in_old_value,old_value_located_in_new_value,new_value_is_metaclass_for_old_value,old_value_is_metaclass_for_new_value
99,2189704453,152547,hagelslag,Q152547$2E0BB1B8-D100-41BF-9D6B-AA315B70A97B,,279,subclass of,"""Q185583""",candy,"""Q97371416""",sprinkles,wikibase-entityid,UPDATE,PROPERTY_VALUE,,candy topping,tiny multi-colored candy topping,confection made with sugar,property_value_update,"confection, spread, sprinkles",4,1,1,0.0,0,0,8,0.8888888888888888,1,1.0,0,0.96163845,0.36312824,0.4350156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,221073531,384765,censorship of images in the Soviet Union,Q384765$EDB56065-0C6F-4E3B-BD65-AA82E0AF18CA,,31,instance of,"""Q5""",human,"""Q543""",censorship,wikibase-entityid,UPDATE,PROPERTY_VALUE,,form of censorship,practice of suppressing speech or other public communication which is illegal or against social norms.,"any member of Homo sapiens, unique extant species of the genus Homo",property_value_update,censorship in the Soviet Union,5,1,1,0.0,0,0,10,1.0,1,1.0,0,0.9080961,0.14136487,-0.015699396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1074254185,171594,semi-major axis,Q171594$f330d465-44f2-526c-1f36-cf043d2a5618,,279,subclass of,"""Q21087484""",semi-axis,"""Q21143897""",semi-axis,wikibase-entityid,UPDATE,PROPERTY_VALUE,,longest interval from a point on an ellipse to its center,term in geometry; longest and shortest semidiameters of an ellipse,,link_change,"length, line segment, semi-axis",0,1,1,1.0,1,1,0,0.0,0,1.0,0,0.9733341,1.0,0.078507826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,506941493,263639,municipality of Puerto Rico,Q263639$404f3b38-49ed-00ad-f000-bb7cbb6fdbf6,,279,subclass of,"""Q15284""",municipio,"""Q1763214""",municipio,wikibase-entityid,UPDATE,PROPERTY_VALUE,,"district of Puerto Rico, each led by a mayor and divided into barrios; governed by the Autonomous Municipalities Act of 1991",country subdivisions in several Hispanophone and Lusophone nations,administrative division having corporate status and usually powers of self-government or jurisdiction,link_change,"administrative subdivision of Puerto Rico, county-equivalent, municipio, second-level administrative division",0,1,1,1.0,1,1,0,0.0,0,1.0,0,0.9887404,1.0000001,0.21501407,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,308859499,5518,liceo classico,q5518$69f9e9e5-4dfb-bf2e-5036-a1542d0eebc3,,279,subclass of,"""Q159334""",secondary school,"""Q15938054""",secondary education in Italy,wikibase-entityid,UPDATE,PROPERTY_VALUE,,type of Italian senior high school specializing in classical studies,overview of secondary education in Italy,organization where secondary education is provided,refinement,liceo,12,2,4,0.2,0,0,15,0.5357142857142857,0,0.5,0,0.9610497,0.5887777,0.5423612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,7476639,194203,arrondissement of France,q194203$EDD55F5A-2CB9-4326-A510-4C21025AC1A2,,17,country,"""Q2084927""",France Pavilion,"""Q142""",France,wikibase-entityid,UPDATE,PROPERTY_VALUE,,territorial subdivision of a department of France,"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)",pavillion of World Showcase in Epcot,link_change,"administrative territorial entity of France, arrondissement, second-level administrative division, third-level administrative division",9,2,1,0.5,0,1,9,0.6,0,0.5,0,0.94312865,0.60698557,0.11478925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1992745935,459221,sharing,Q459221$3ed301fe-4953-a421-7252-043bea992c22,,279,subclass of,"""Q451967""",intentional human activity,"""Q1914636""",activity,wikibase-entityid,UPDATE,PROPERTY_VALUE,,joint use of a resource or space,series of actions done by an agent which results in an external change of state,human activity driven by purposeful motives,unrefinement,"activity, resource allocation",18,3,1,0.3333333333333333,0,1,18,0.6923076923076923,0,0.33333333333333337,0,0.919977,0.6651612,0.29297787,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,308150846,192611,electoral unit,Q192611$7484fdbe-419f-216d-a52c-7cdab2a88167,,279,subclass of,"""Q15642566""",non-political administrative territorial entity,"""Q56061""",administrative territorial entity,wikibase-entityid,UPDATE,PROPERTY_VALUE,,territorial division made or used for elections,"territorial entity for administration purposes, with or without its own local government",country subdivision that does not have its own government and exists only for administrative purposes,unrefinement,"administrative territorial entity, political territorial entity",14,4,3,0.75,0,1,14,0.2978723404255319,0,0.75,0,0.9864663,0.8774259,0.7034848,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,650198161,205895,landmass,Q205895$6c46a4b2-43c7-8f16-610d-ee669a9a59b1,,361,part of,"""Q634""",planet,"""Q2""",Earth,wikibase-entityid,UPDATE,PROPERTY_VALUE,,"contiguous area of land surrounded by ocean; large continuous area of land, either surrounded by sea or contiguous with another landmass",third planet from the Sun in the Solar System,celestial body directly orbiting a star or stellar remnant,refinement,"physico-geographical object, region",1,1,1,0.0,0,0,5,0.8333333333333334,1,1.0,0,0.95685554,0.6659602,0.4582432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1992740536,257931,provocation,Q257931$f10cd869-409b-0cb4-43a2-c65528e98977,,279,subclass of,"""Q451967""",intentional human activity,"""Q1914636""",activity,wikibase-entityid,UPDATE,PROPERTY_VALUE,,action resulting in negative reactions such as condemnation or counteractions,series of actions done by an agent which results in an external change of state,human activity driven by purposeful motives,unrefinement,activity,18,3,1,0.3333333333333333,0,1,18,0.6923076923076923,0,0.33333333333333337,0,0.9363475,0.6651612,0.29297787,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2298857744,59545,temporary work agency,Q59545$FEE50844-5EB1-437A-907C-FA97B08884CD,,279,subclass of,"""Q261362""",employment agency,"""Q352450""",agency,wikibase-entityid,UPDATE,PROPERTY_VALUE,,agency that connects temp workers with other businesses,professional service provider,organization which matches employers to employees,unrefinement,"agency, professional services firm",11,2,1,0.5,0,1,11,0.6470588235294118,0,0.5,0,0.98020935,0.8001641,0.27753043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1754856944,1651,Yohan Blake,Q1651$8d103705-40af-21bb-974e-9080f5d8fe8f,,1344,participant in,"""Q51588237""",athletics at the 2018 Commonwealth Games – men's 100 metres,"""Q3294383""",2018 Commonwealth Games,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,Jamaican athletics competitor,"multi-sport event in Gold Coast, Australia","The men's 100 metres at the 2018 Commonwealth Games, as part of the athletics programme, took place in the Carrara Stadium on 8 and 9 April 2018",unrefinement,,36,10,3,0.3,0,1,36,0.6101694915254238,0,0.30000000000000004,0,0.8408029,0.69467676,0.4393415,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130,992021570,9603,Sufism,Q9603$182c9a35-427d-7f91-980b-ccbce1a016b5,,279,subclass of,"""Q483654""",Sunni Islam,"""Q432""",Islam,wikibase-entityid,UPDATE,PROPERTY_VALUE,"religious movement, way of life, lifestyle, religious denomination",body of mystical practice within Islam,Abrahamic religion founded by Muhammad,most populous Islamic denomination,unrefinement,"Islamic activity, obedience in Islam",6,2,1,0.5,0,1,6,0.5454545454545454,0,0.5,0,0.9646158,0.77128893,0.42489868,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,706454146,51482,Red Bull,Q51482$BFE6A9DE-937D-4731-AEAC-2C7439F3147A,,495,country of origin,"""Q869""",Thailand,"""Q40""",Austria,wikibase-entityid,UPDATE,PROPERTY_VALUE,"drink brand, energy drink, trademark",brand of energy drinks sold by Red Bull GmbH,country in Central Europe,country in Southeast Asia,property_value_update,energy drink,1,1,1,0.0,0,0,8,1.0,1,1.0,0,0.97844875,0.3760562,0.48081112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,214298073,154311,Dennis Aogo,Q154311$EE1F9169-B1F3-4573-B5C5-5CB99899CB8A,,735,given name,"""Q18755446""",Dennis,"""Q639292""",Dennis,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,German association football player,male given name,male given name,link_change,,0,1,1,1.0,1,1,0,0.0,0,1.0,0,0.99276984,0.99999994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,6064764,32,Luxembourg,q32$B5C031D1-D90B-405E-999F-4C9A5B879AD5,,30,continent,"""Q3918638""","Hotel Europe, Minsk","""Q46""",Europe,wikibase-entityid,UPDATE,PROPERTY_VALUE,"country, grand duchy, landlocked country, sovereign state, state of the German Confederation 1815–1848 & 1850–1866, unitary state",country in Northwestern Europe,continent in the Northern Hemisphere,"building in Minsk, Belarus",link_change,,13,3,1,0.0,0,1,13,0.6842105263157895,0,0.33333333333333337,0,0.95729697,0.42544842,0.000304278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,186144467,113448,Regina Schörg,Q113448$3a89abf6-47b7-6dde-c6fc-d7c67b8c096d,,19,place of birth,"""Q40""",Austria,"""Q1741""",Vienna,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,singer,capital of and state in Austria,country in Central Europe,refinement,,1,1,1,0.0,0,0,6,0.8571428571428571,1,1.0,0,0.9489465,0.8127001,0.41671342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151,416027176,46473,,Q46473$2E7C8BFD-AD5C-4DD8-A869-40A73DE4B88B,,131,located in the administrative territorial entity,"""Q1202""",Saxony,"""Q6330""",Zwickau,wikibase-entityid,UPDATE,PROPERTY_VALUE,administrative community of Sachsen,,"rural district of Saxony, Germany",state in Germany,refinement,,1,1,1,0.0,0,0,7,1.0,1,1.0,0,0.963758,0.3623423,0.55463374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
153,1972270345,34800,Xinjiang,Q34800$76b3cec5-4a8f-a8d3-c5b1-b8bcb09cd7f3,,150,contains the administrative territorial entity,"""Q18651998""",Kokdala,"""Q10930847""",Shuanghe,wikibase-entityid,UPDATE,PROPERTY_VALUE,autonomous region of China,autonomous region in China,"county-level city in Xinjiang, China","county-level & sub-prefectural city in Xinjiang, People's Republic of China",property_value_update,,1,1,1,0.0,0,0,8,1.0,1,1.0,0,0.9456696,0.4345131,0.88940465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1604396488,435124,Alexander Godunov,q435124$9A5B4371-1109-486E-9F25-E6E54A07653B,,19,place of birth,"""Q7792""",Sakhalin,"""Q7859""",Yuzhno-Sakhalinsk,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,Russian-American ballet dancer and film actor,city in far-eastern Russia,large Russian island in the North Pacific Ocean,property_value_update,,9,1,1,0.0,1,0,9,0.5294117647058824,0,1.0,0,0.94975036,0.7478516,0.4428599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,2173677399,168799,Witch in Our Family,Q168799$2f176ed0-44f6-d0c7-a233-d8092fcaa7ef,,161,cast member,"""Q126199128""",Rebecca Scheja,"""Q3373259""",Rebecca Scheja,wikibase-entityid,UPDATE,PROPERTY_VALUE,film,2000 film by Harald Hamrell,actress and musician,actress and musician,link_change,,0,2,2,1.0,1,1,0,0.0,0,1.0,0,0.9865761,1.0000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,23991784,258559,Alaska Peninsula National Wildlife Refuge,q258559$BDEC5D61-5B94-4F0B-AE96-7BC85B157F84,,131,located in the administrative territorial entity,"""Q1133002""",SS Alaska,"""Q797""",Alaska,wikibase-entityid,UPDATE,PROPERTY_VALUE,National Wildlife Refuge,United States National Wildlife Refuge in southwestern Alaska,state of the United States of America,British passenger liner,link_change,,3,2,1,0.5,0,1,3,0.3333333333333333,0,0.5,0,0.96664345,0.81909406,0.07136276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,1783224037,106130,Adolf Wolff,Q106130$2EE02125-9B3F-4717-B9D4-7BDFEEE52550,,1889,different from,"""Q58369852""","Adolf Wolff: “Poet, Sculptor and Revolutionist, but Mostly Revolutionist”","""Q60035417""",Adolf Wolff,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,German architect (1832-1885),visual artist,,link_change,,62,9,2,0.1,0,1,62,0.8493150684931506,0,0.2222222222222222,0,0.9692723,0.7549676,0.24291739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,387455366,385746,Hightstown,Q385746$1F7617BC-AF71-4A79-9213-97745AE4984B,,31,instance of,"""Q486972""",human settlement,"""Q2911266""",borough of New Jersey,wikibase-entityid,UPDATE,PROPERTY_VALUE,borough of New Jersey,"borough in Mercer County, New Jersey, United States",type of subdivision of New Jersey in the USA,"place of any size, in which people permanently live",refinement,,5,2,4,0.0,0,0,17,0.8095238095238095,1,0.5,0,0.9901235,0.19447616,0.17506263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,2267139790,1174,Haryana,Q1174$18579747-856F-47AD-9050-649BAC149D24,,31,instance of,"""Q12443800""",state of India,"""Q7275""",state,wikibase-entityid,UPDATE,PROPERTY_VALUE,state of India,state in North India,"organised community living under a system of government; either a sovereign state, constituent state, or federated state",Indian national administrative subdivision,unrefinement,,9,3,1,0.3333333333333333,0,1,9,0.6428571428571429,0,0.33333333333333337,0,0.9643229,0.6310452,0.30234796,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
206,517336286,271421,Torsten Nils Wiesel,Q271421$A3CE3B03-93A7-40F1-9D5A-4768BFFB7CB2,,108,employer,"""Q19372""",Carrù,"""Q193727""",Johns Hopkins University,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,Swedish neuroscientist,"private university in Baltimore, Maryland, USA",commune in Italy,property_value_update,,19,1,3,0.0,0,0,23,0.9583333333333334,1,0.33333333333333337,0,0.8397819,0.3479056,0.033331282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,1294011941,76606,Carl Bosch,Q76606$99FD920D-0EB5-4928-A966-2BD814F09490,,101,field of work,"""Q2329""",chemistry,"""Q395""",mathematics,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,German chemical engineer (1874–1940),field of study,"branch of physical science concerned with the composition, structure and properties of matter",property_value_update,,2,1,1,0.0,0,0,8,0.7272727272727273,1,1.0,0,0.9527632,0.46336976,0.29713964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,663811805,62118,Robert Hermann Schomburgk,Q62118$406ba4fa-4dcf-09a4-95df-96a1939f466b,,551,residence,"""Q650667""",Guyanas,"""Q918126""",British Guiana,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"German explorer, botanist, and ichthyologist (1804-1865)",British posession in the Guianas region between 1814–1966,region in northeastern South America,property_value_update,,7,1,2,0.0,0,0,10,0.7142857142857143,1,0.5,0,0.9127815,0.6769935,0.39493358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,616268222,380832,Aello,Q380832$c5b857ff-4f6b-18ba-a3d8-501283f837f6,,25,mother,"""Q131651""",Electra,"""Q1438693""",Electra,wikibase-entityid,UPDATE,PROPERTY_VALUE,mythical creature,one of the Harpy sisters in Greek mythology,one of the Oceanids; daughter of Oceanus and Tethys,daughter of Agamemnon,link_change,,0,1,1,1.0,1,1,0,0.0,0,1.0,0,0.95094085,1.0000002,0.31018138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,1062551148,63522,Hans-Wilhelm Müller-Wohlfahrt,Q63522$8311D01E-4249-403A-BFA1-F2B3D36A1828,,734,family name,"""Q8157228""",Müller,"""Q76503454""",Müller-Wohlfahrt,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,German sports physician,family name,family name,refinement,,10,1,1,0.0,1,0,10,0.625,0,1.0,0,0.9861671,0.75035155,0.99999994,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
249,1733134871,44272,Michel Foucault,Q44272$35CC9EB5-3FE1-400B-BB55-B68FE34FA09B,,509,cause of death,"""Q12199""",AIDS,"""Q5949512""",Juan Francisco Borges,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,French philosopher (1926–1984),Argentinian military personnel,spectrum of conditions caused by HIV infection,property_value_update,,17,1,3,0.0,0,0,18,0.8571428571428571,1,0.33333333333333337,0,0.8929493,0.12658109,0.002135966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1333283416,267169,North Fork Flathead River,Q267169$6C5586BD-7E4B-447B-ADC7-EA0A9E1A9FEB,,131,located in the administrative territorial entity,"""Q1212""",Montana,"""Q496607""",Flathead County,wikibase-entityid,UPDATE,PROPERTY_VALUE,river,"river in Flathead County, Montana, United States and British Columbia, Canada","county in Montana, United States",state of the United States of America,refinement,,8,1,2,0.0,0,0,12,0.8,1,0.5,0,0.9887929,0.3073302,0.34875107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
251,2215483110,26668,Raymond Chan,Q26668$dc3402e7-408c-0bdb-9839-d406864554b9,,91,sexual orientation,"""Q592""",gay,"""Q6636""",homosexuality,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,Hong Kong politician,romantic or sexual attraction or behavior between members of the same sex,term referring to a homosexual person or the trait of homosexuality,property_value_update,,10,1,1,0.0,0,0,11,0.8461538461538461,1,1.0,0,0.96044105,0.7314565,0.5142294,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
252,1545902953,7439,Richard Stallman,Q7439$a53242d7-497f-0976-b923-0fb1a147f8d3,,106,occupation,"""Q102129595""",free software activist,"""Q15253558""",activist,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"American software freedom activist, short story writer and computer programmer, founder of the GNU project","person working with promoting or impeding, or causing social, political, economic, or environmental change",activist who promotes free software,unrefinement,,14,3,1,0.3333333333333333,0,1,14,0.6363636363636364,0,0.33333333333333337,0,0.9843772,0.60534304,0.44354296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
259,2013838957,164749,100 Mosques Scheme,Q164749$386630a9-4814-5fed-b320-4f06995afff5,,170,creator,"""Q2039886""",Ahmadiyya Muslim Community,"""Q171764""",Ahmadiyya,wikibase-entityid,UPDATE,PROPERTY_VALUE,project,,Islamic revival movement originating in the Indian subcontinent,denomination in Islam,link_change,,17,3,1,0.3333333333333333,0,1,17,0.6538461538461539,0,0.33333333333333337,0,0.94075847,0.80096185,0.40479758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,1081542693,57105,Corcelles-sur-Chavornay,q57105$891297DD-AAEA-4D27-8CC7-8960F2BBF41E,,131,located in the administrative territorial entity,"""Q12771""",canton of Vaud,"""Q52726""",Chavornay,wikibase-entityid,UPDATE,PROPERTY_VALUE,"former municipality of Switzerland, Ortschaft",municipality in Switzerland,municipality in Switzerland,canton of Switzerland,refinement,,5,3,1,0.0,0,0,11,0.7857142857142857,1,0.33333333333333337,0,0.977496,0.16986091,0.75596994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
261,1193676866,277850,Ilyushin Il-102,Q277850$1284308e-4b51-430d-a136-76e10eeaae87,,279,subclass of,"""Q208187""",attack aircraft,"""Q11436""",aircraft,wikibase-entityid,UPDATE,PROPERTY_VALUE,"aircraft model, attack aircraft, fixed-wing aircraft",prototype of attack aircraft by Ilyushin,machine that is able to fly by gaining support from the air other than the reactions of the air against the earth’s surface,aircraft intended to attack ground targets,unrefinement,"attack aircraft, fixed-wing aircraft",7,2,1,0.5,0,1,7,0.4666666666666667,0,0.5,0,0.98210377,0.7803836,0.31569102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
276,1020857439,418508,cycloserine,Q418508$7CDBC761-F0ED-4BF4-A1BD-6A67B20EB67B,,279,subclass of,"""Q24153252""",bactericide,"""Q804539""",bactericide,wikibase-entityid,UPDATE,PROPERTY_VALUE,"alkaloid, type of chemical entity",chemical compound,a substance that kills or slows the growth of bacteria,a substance that kills or slows the growth of bacteria,link_change,alkaloid,0,1,1,1.0,1,1,0,0.0,0,1.0,0,0.990548,1.0,1.0000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,1816874576,116754,Marc-Auguste Pictet,Q116754$37e7ee93-4ae0-6dc1-d9d7-61384ea1b50c,,27,country of citizenship,"""Q58296""",France,"""Q142""",France,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,Genevan scientist (1752-1825),"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)","republic governing France, 1792–1804",link_change,,0,1,1,1.0,1,1,0,0.0,0,1.0,0,0.96839416,1.0000002,0.19993725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,1488550120,234527,Kat Von D,Q234527$f75ac029-4050-5432-cc91-e26aea96710a,,735,given name,"""Q58656839""",Katherine,"""Q108631""",Katherine,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,Mexican-American tattoo artist and television personality,female given name,unisex given name,link_change,,0,1,1,1.0,1,1,0,0.0,0,1.0,0,0.98624194,1.0000001,0.63215184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
