,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,relative_value_diff_latitude,relative_value_diff_longitude,latitude_sign_change,longitude_sign_change,latitude_whole_number_change,longitude_whole_number_change,coordinate_distance_km,latitude_precision_change,longitude_precision_change,latitude_length_increase,latitude_length_decrease,longitude_length_increase,longitude_length_decrease,longitude_shared_prefix,longitude_shared_prefix_length,latitude_shared_prefix,latitude_shared_prefix_length,full_cosine_similarity
158,268145298,268300,Rousson,q268300$57AB9DA5-3325-4640-821A-8E70D1BA9EBF,,625,coordinate location,"{""latitude"": 44.1797, ""longitude"": 4.1508}",,"{""latitude"": 44.178611111111, ""longitude"": 4.15}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Gard, France",,,"unrefinement, property_value_update",,2.464681491711628e-05,0.0001927339308084976,0.0,0.0,False,False,0.13685772366720217,1,1,1,0,0,1,1,2,1,2,0.9902315
159,70994339,3783,Amazon,q3783$2105F2D6-BF7C-4EF2-8CC3-4BE7C7CB20FB,,625,coordinate location,"{""latitude"": -0.166667, ""longitude"": -49}",,"{""latitude"": -0.16666694444444, ""longitude"": -49}",,globecoordinate,UPDATE,PROPERTY_VALUE,river,river in South America,,,property_value_update,,3.3333269341540286e-07,0.0,0.0,0.0,False,False,6.1774964200582774e-06,1,1,1,0,0,0,0,0,1,5,0.98515046
161,1799734903,23408,Bouvet Island,Q23408$5AA82509-F32F-41E2-9820-626866C3AC0A,,625,coordinate location,"{""latitude"": -54.42222, ""longitude"": 3.35833}",,"{""latitude"": -54.42, ""longitude"": 3.36}",,globecoordinate,UPDATE,PROPERTY_VALUE,"dependency of Norway, island, political territorial entity",Norwegian uninhabited subantarctic volcanic island,,,unrefinement,,4.079216173102128e-05,0.0004972709650331677,0.0,0.0,False,False,0.26946121497655423,1,1,0,1,0,1,1,1,1,2,0.99408454
168,232330604,15628595,Boyden–Hull Junior/Senior High School,Q15628595$29f0dad6-4507-6947-e5f4-1f6eccb8199a,,625,coordinate location,"{""latitude"": 43.189444444444, ""longitude"": 96.135833333333}",,"{""latitude"": 43.189444444444, ""longitude"": -96.135833333333}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,10332.682537125576,1,1,0,0,0,0,1,12,1,12,0.98117083
170,1416079889,1342,Pittsburgh,q1342$BB774529-49DD-4871-83C7-24FC358F116C,,625,coordinate location,"{""latitude"": 40.45, ""longitude"": -80}",,"{""latitude"": 40.44166666666667, ""longitude"": -80}",,globecoordinate,UPDATE,PROPERTY_VALUE,"big city, city of Pennsylvania, county seat, home rule municipality of Pennsylvania","city and county seat in Allegheny County, Pennsylvania, United States",,,property_value_update,,0.0002060156571899347,0.0,0.0,0.0,False,False,0.9266243887043629,1,1,1,0,0,0,0,0,1,1,0.99455965
171,1753178086,135616,Yeysk,q135616$493DD155-4097-4F27-993E-BB0A74DD3A8D,,625,coordinate location,"{""latitude"": 46.710555555556, ""longitude"": 38.277777777778}",,"{""latitude"": 46.71111111111111, ""longitude"": 38.27333333333333}",,globecoordinate,UPDATE,PROPERTY_VALUE,"administrative divisions of Russia, city or town, port","town in Krasnodar Krai, Russia",,,property_value_update,,1.189357626990793e-05,0.00011611030479532202,0.0,0.0,False,False,0.3444479802020246,1,1,1,0,1,0,1,2,1,2,0.9927142
175,883086360,2074405,San Fulgencio,q2074405$065EF8AC-B7EE-4C59-8C8A-F70B4BCC7A4C,,625,coordinate location,"{""latitude"": 38.111944444444, ""longitude"": 0.71916666666667}",,"{""latitude"": 38.111944444444, ""longitude"": -0.71916666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,125.83690897955012,1,1,0,0,0,0,1,14,1,12,0.9738546
182,371139137,1974,British Columbia,Q1974$f5cf122b-4c93-c0bc-58ae-a029e74ed66f,,1332,coordinates of northernmost point,"{""latitude"": 60, ""longitude"": -120}",,"{""latitude"": 60, ""longitude"": -130}",,globecoordinate,UPDATE,PROPERTY_VALUE,,province of Canada,,,property_value_update,,0.0,0.08333333333333333,0.0,0.0,False,True,555.4451329718428,0,0,0,0,0,0,0,0,0,0,0.983443
189,75777053,319659,Abernathy,q319659$6B0343E5-CB32-45FD-BBA5-D3068C3D3998,,625,coordinate location,"{""latitude"": 33.83167, ""longitude"": 101.845}",,"{""latitude"": 33.832222222222, ""longitude"": -101.84305555556}",,globecoordinate,UPDATE,PROPERTY_VALUE,city in the United States,city in Texas,,,property_value_update,,1.6322641536702804e-05,1.999980907806569,0.0,1.0,False,False,12095.563822754284,1,1,1,0,1,0,1,2,1,2,0.98700714
197,1829142147,83399,Northolt,q83399$4C755CE1-68AA-4994-AE08-8C9B25E53F33,,625,coordinate location,"{""latitude"": 51.543055555555554, ""longitude"": -0.37722222222222224}",,"{""latitude"": 51.54666666666667, ""longitude"": -0.37}",,globecoordinate,UPDATE,PROPERTY_VALUE,"area of London, town","area in the London Borough of Ealing, England, UK",,,"unrefinement, property_value_update",,7.006009000029765e-05,0.01914580265095734,0.0,0.0,False,False,0.6408321441306839,1,1,0,1,0,1,1,2,1,2,0.9924729
199,748112754,49303938,Larson Lake,Q49303938$3F905180-14A8-4C16-804C-31CF64CA4C62,,625,coordinate location,"{""latitude"": 62.33744, ""longitude"": -149.89006}",,"{""latitude"": 62.3375, ""longitude"": -149.89}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,9.625034328924725e-07,4.0029338849450604e-07,0.0,0.0,False,False,0.007355646695836307,1,1,0,1,0,1,1,2,1,3,0.9758805
200,940263595,217717,American Museum of Natural History,q217717$0D4ED294-42A2-4596-90A4-9FEEF77F86B7,,625,coordinate location,"{""latitude"": 40.780555555556, ""longitude"": -73.974722222222}",,"{""latitude"": 40.780555555556, ""longitude"": 73.974722222222}",,globecoordinate,UPDATE,PROPERTY_VALUE,"educational institution, natural history museum, nonprofit organization","natural history museum in Manhattan, New York",,,re_formatting,,0.0,2.0,0.0,1.0,False,False,10385.950974778278,1,1,0,0,0,0,1,12,1,12,0.9971692
207,817353588,24911006,Kalenbuntu,Q24911006$BD56CEA6-F0DC-4E7F-926C-AD8C5DFF4D69,,625,coordinate location,"{""latitude"": -6.12722, ""longitude"": 107.0625}",,"{""latitude"": -6.1272222222222, ""longitude"": 107.0625}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,refinement,,3.6268033464316933e-07,0.0,0.0,0.0,False,False,0.00024709983456586154,1,1,1,0,0,0,1,4,1,5,0.97068924
208,815727287,24910774,Loko Kalada,Q24910774$4265BD90-262A-42B1-B39F-ABA579BB5B83,,625,coordinate location,"{""latitude"": -9.6176, ""longitude"": 119.2938}",,"{""latitude"": -9.6175, ""longitude"": 119.29388888889}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"refinement, property_value_update",,1.0397604391923864e-05,7.451258153467528e-07,0.0,0.0,False,False,0.01478545123372084,1,1,0,0,1,0,1,4,1,3,0.9752419
218,1338250636,35600,Ural Mountains,q35600$C4F4A2DE-BC60-42E3-8F8C-3820A5C88FCE,,625,coordinate location,"{""latitude"": 60, ""longitude"": 60}",,"{""latitude"": 60, ""longitude"": 59}",,globecoordinate,UPDATE,PROPERTY_VALUE,mountain range,mountain range in Russia,,,property_value_update,,0.0,0.016666666666666666,0.0,0.0,False,True,55.59693407114024,0,0,0,0,0,0,0,0,0,0,0.98896414
222,142648988,45295,Birnie Island,q45295$79A83F1A-394D-490E-9B98-1C97E870A6BC,,625,coordinate location,"{""latitude"": -3.9166666666667, ""longitude"": 171.55}",,"{""latitude"": -3.9166666666667, ""longitude"": -171.55}",,globecoordinate,UPDATE,PROPERTY_VALUE,island,island in Kiribati,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,1874.773325496363,1,1,0,0,0,0,1,2,1,13,0.9904433
225,1365152149,24792,Thielle,q24792$5C052925-C683-4CCF-98C6-2C5D87B684BE,,625,coordinate location,"{""latitude"": 47, ""longitude"": 7.0333333333333}",,"{""latitude"": 47.016666666666666, ""longitude"": 7.033333333333333}",,globecoordinate,UPDATE,PROPERTY_VALUE,river,tributary to the Aare River,,,refinement,,0.00035460992907799404,4.672407800318216e-15,0.0,0.0,False,False,1.8532487774087254,0,0,1,0,1,0,1,13,0,0,0.98633736
247,264324524,130184,Viviers,q130184$ABE730FB-04C9-4ABB-857B-303D4261B922,,625,coordinate location,"{""latitude"": 47.8039, ""longitude"": 3.9219}",,"{""latitude"": 47.803333333333, ""longitude"": 3.9211111111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Yonne, France",,,property_value_update,,1.1853984026368495e-05,0.00020114966952238206,0.0,0.0,False,False,0.0862660321593103,1,1,1,0,1,0,1,3,1,3,0.9876056
258,761707156,49303289,John Roberts Lake,Q49303289$8745D97B-5730-4F6C-B529-2D9B254A090A,,625,coordinate location,"{""latitude"": 66.12669, ""longitude"": -146.83758}",,"{""latitude"": 66.126666666667, ""longitude"": -146.8375}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,3.528580213255077e-07,5.448196571815702e-07,0.0,0.0,False,False,0.004437683338990525,1,1,1,0,0,1,1,4,1,4,0.97128046
268,1794142789,232564,Cundinamarca Department,q232564$615C13FE-8A29-442F-A721-B468C2665FA0,,625,coordinate location,"{""latitude"": 5, ""longitude"": -74.16667}",,"{""latitude"": 5, ""longitude"": -74.16666666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,department of Colombia,department of Colombia,,,refinement,,0.0,4.4943818091299984e-08,0.0,0.0,False,False,0.0003692393203712351,1,1,0,0,1,0,1,4,0,0,0.9868573
275,351680571,668,India,q668$A160C75B-2538-4306-8C2E-C5D5B97E2F29,,625,coordinate location,"{""latitude"": 21, ""longitude"": 78}",,"{""latitude"": 21, ""longitude"": 77}",,globecoordinate,UPDATE,PROPERTY_VALUE,"constitutional republic, country, democratic republic, dominion of the British Empire, federal republic, republic, sovereign state",country in South Asia,,,property_value_update,,0.0,0.01282051282051282,0.0,0.0,False,True,103.80923782186998,0,0,0,0,0,0,0,0,0,0,0.99602747
281,70618325,80370,Batman Province,q80370$916E9A42-93C1-41A1-9B32-FC94FDE8A8C0,,625,coordinate location,"{""latitude"": 38.081944444444, ""longitude"": 41.407222222222}",,"{""latitude"": 8.0819444444444, ""longitude"": 41.407222222222}",,globecoordinate,UPDATE,PROPERTY_VALUE,province of Turkey,province of Turkey,,,property_value_update,,0.7877749006163596,0.0,0.0,0.0,True,False,3335.8477993367173,0,0,0,0,0,0,1,12,1,12,0.99053735
282,1498339891,213,Czech Republic,q213$8148904D-F37E-4FE7-8B25-EFBD167043FF,,625,coordinate location,"{""latitude"": 50, ""longitude"": 16}",,"{""latitude"": 49.5, ""longitude"": 16}",,globecoordinate,UPDATE,PROPERTY_VALUE,"country, landlocked country, republic, sovereign state, successor state",country in Central Europe,,,property_value_update,,0.01,0.0,0.0,0.0,True,False,55.597463322279445,0,0,1,0,0,0,0,0,0,0,0.9945681
291,1436357544,126130,Bible Lands Museum,Q126130$A8AB1124-C0F6-436F-BD53-229A6A216201,,625,coordinate location,"{""latitude"": 31.7749, ""longitude"": 35.2025}",,"{""latitude"": 31.7749, ""longitude"": 55.2025}",,globecoordinate,UPDATE,PROPERTY_VALUE,archaeological museum,аchaeological museum in Jerusalem,,,property_value_update,,0.0,0.5681414672253391,0.0,0.0,False,True,1887.9042904284997,1,1,0,0,0,0,1,4,1,4,0.99567515
292,784185883,256801,Zhuravno,q256801$65B16CCC-165F-4A15-93D8-1278C335364D,,625,coordinate location,"{""latitude"": 49.25, ""longitude"": 24.266666666667}",,"{""latitude"": 49.2580366, ""longitude"": 24.2856428}",,globecoordinate,UPDATE,PROPERTY_VALUE,human settlement,administrative territorial entity of Ukraine,,,"refinement, property_value_update",,0.0001631796954314102,0.0007819835164698459,0.0,0.0,False,False,1.6417589755571687,1,1,1,0,0,1,1,1,1,2,0.9926845
293,732737687,717,Venezuela,q717$228181a5-4cb8-7039-41b0-bcd88b408576,,625,coordinate location,"{""latitude"": 8, ""longitude"": -65}",,"{""latitude"": 8, ""longitude"": -67}",,globecoordinate,UPDATE,PROPERTY_VALUE,"country, sovereign state",sovereign state in northern South America,,,property_value_update,,0.0,0.03076923076923077,0.0,0.0,False,True,220.22535393672825,0,0,0,0,0,0,0,0,0,0,0.9943066
296,914199429,234132,Hillsborough disaster,q234132$0A32CB8D-2933-4F85-94D3-8676A679C7C9,,625,coordinate location,"{""latitude"": 53.41154, ""longitude"": -1.50154}",,"{""latitude"": 53.4115, ""longitude"": -1.5016}",,globecoordinate,UPDATE,PROPERTY_VALUE,"disaster, stampede",incident which occurred during the FA Cup semi-final match in 1989,,,"unrefinement, property_value_update",,7.489018291850622e-07,3.9958975451835434e-05,0.0,0.0,False,False,0.005966361548460284,1,1,0,1,0,1,1,3,1,4,0.99349916
298,2234411873,130280,Estonian Soviet Socialist Republic,Q130280$2E3EAA49-7527-4D0D-9607-BE32A1499B0C,,625,coordinate location,"{""latitude"": 59.41666667, ""longitude"": 24.75}",,"{""latitude"": 59.435833333333335, ""longitude"": 24.7375}",,globecoordinate,UPDATE,PROPERTY_VALUE,"historical country, puppet state, republic of the Soviet Union, sovereign state",republic of the Soviet Union (1940–1991),,,property_value_update,,0.0003225805890422722,0.0005050505050504763,0.0,0.0,False,False,2.2454390243451856,1,1,1,0,1,0,1,1,1,1,0.99555266
308,69994597,970117,San Pietro Martire,Q970117$e966f1bb-41b1-8e55-5711-e222af4580c0,,625,coordinate location,"{""latitude"": 40.851875, ""longitude"": -14.246644444444}",,"{""latitude"": 40.851875, ""longitude"": 14.246644444444}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,2385.816505772926,1,1,0,0,0,0,1,12,1,6,0.9698993
312,767291032,36238003,Uza,Q36238003$BF3C127D-34CE-4C16-B5D7-E3FC0564E9C3,,625,coordinate location,"{""latitude"": 54.6295, ""longitude"": 55.5552}",,"{""latitude"": 54.629444444444, ""longitude"": 55.555277777778}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"refinement, property_value_update",,1.0169515738323297e-06,1.4000089641113065e-06,0.0,0.0,False,False,0.007951372601515024,1,1,1,0,1,0,1,4,1,3,0.96848714
314,1354460420,36077,Hạ Long,Q36077$2EFC2C72-0A28-43A3-9072-BE1E10BFE709,,625,coordinate location,"{""latitude"": 20.95162, ""longitude"": 107.084933}",,"{""latitude"": 20.951619444444443, ""longitude"": 107.08493333333334}",,globecoordinate,UPDATE,PROPERTY_VALUE,provincial city of Vietnam,provincial city of Vietnam,,,refinement,,2.6516114521795953e-08,3.1127939585277374e-09,0.0,0.0,False,False,7.081170888597147e-05,1,1,1,0,1,0,1,6,1,4,0.9887924
315,750284010,49303205,Island Lake,Q49303205$B65F9E22-FB15-4DDF-81D0-DA30667085C4,,625,coordinate location,"{""latitude"": 48.90253, ""longitude"": -100.21297}",,"{""latitude"": 48.9025, ""longitude"": -100.21305555556}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,6.134651928092791e-07,8.537373955232127e-07,0.0,0.0,False,False,0.00708762455297979,1,1,0,1,1,0,1,2,1,4,0.9738995
316,1415740491,779914,Taujėnai,Q779914$6A21B276-111B-46B8-83B9-9D2380610C22,,625,coordinate location,"{""latitude"": 55.3919, ""longitude"": 24.7639}",,"{""latitude"": 55.39055555555556, ""longitude"": 24.76}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,2.4271498981650854e-05,0.00015748731015704378,0.0,0.0,False,False,0.28812404642201195,1,1,1,0,0,1,1,2,1,2,0.9608716
318,1474377524,79343,Chevak,q79343$FAE68339-0FFE-4CC2-95A4-A557C226322C,,625,coordinate location,"{""latitude"": 61.5278, ""longitude"": -165.579}",,"{""latitude"": 61.52780555555555, ""longitude"": -165.58638888888888}",,globecoordinate,UPDATE,PROPERTY_VALUE,city in the United States,"city in Kusilvak Census Area, Alaska, United States",,,"refinement, property_value_update",,9.029342107748863e-08,4.462455316718246e-05,0.0,0.0,False,False,0.391687027267689,1,1,1,0,1,0,1,1,1,4,0.99030066
321,746230290,49305071,Lumen Lake,Q49305071$B8B4C7BE-7258-4512-9FD8-733E2991BFC9,,625,coordinate location,"{""latitude"": 45.73904, ""longitude"": -89.6201}",,"{""latitude"": 45.739166666667, ""longitude"": -89.62}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,2.769333746413641e-06,1.1158211159004375e-06,0.0,0.0,False,False,0.01608120887957559,1,1,1,0,0,1,1,2,1,3,0.9774289
323,1079983515,14897,Maintal,q14897$798ADB26-3DF6-41FF-B7EE-3764D2A6BABA,,625,coordinate location,"{""latitude"": 50.15, ""longitude"": 8.8333333333333}",,"{""latitude"": 50.15, ""longitude"": 8.833333333333334}",,globecoordinate,UPDATE,PROPERTY_VALUE,"municipality, town, urban municipality in Germany","town in Main-Kinzig-Kreis in Hesse, Germany",,,refinement,,0.0,3.8208430130496095e-15,0.0,0.0,False,False,2.3795017310511512e-12,0,0,0,0,1,0,1,13,1,2,0.9955044
324,1900476377,426137,Beauplan River,Q426137$A4B296B7-BE3B-4C27-9B2D-09745A9F6814,,625,coordinate location,"{""latitude"": 15.5370277777778, ""longitude"": 61.4083888888889}",,"{""latitude"": 15.537028, ""longitude"": -61.408389}",,globecoordinate,UPDATE,PROPERTY_VALUE,river,river on the Caribbean island of Dominica,,,"unrefinement, re_formatting",,1.4302748436261571e-08,2.0000000018093798,0.0,1.0,False,False,12848.723515968848,1,1,0,1,0,1,1,5,1,5,0.9888892
345,362454821,377941,California State Route 7,Q377941$9732FF70-1354-4506-B101-757C74F2CD27,,625,coordinate location,"{""latitude"": 32.701764, ""longitude"": 115.382109}",,"{""latitude"": 32.701805555556, ""longitude"": -115.38211111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,road,"state highway in Imperial County, California, United States",,,property_value_update,,1.2707435599649218e-06,2.000000018296684,0.0,1.0,False,False,11005.50983708238,1,1,1,0,1,0,1,4,1,3,0.99481654
353,760802036,49303160,Indian Camp Lake,Q49303160$39E9EA2E-FA97-4864-989D-1CE9609F6B84,,625,coordinate location,"{""latitude"": 36.82303, ""longitude"": -89.11257}",,"{""latitude"": 36.823055555556, ""longitude"": -89.1125}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,6.940101344255558e-07,7.855232994403382e-07,0.0,0.0,False,False,0.0068481382520599,1,1,1,0,0,1,1,4,1,4,0.97865564
362,2342346920,27433,Central Africa,Q27433$9259a75f-4556-cc5b-3fe3-3eb37cd51fc6,,625,coordinate location,"{""latitude"": 40.421295, ""longitude"": -3.623989}",,"{""latitude"": 2, ""longitude"": 21}",,globecoordinate,UPDATE,PROPERTY_VALUE,"cultural region, region, subregion",core region of the African continent,,,property_value_update,,0.9505211300132764,6.794719575583701,0.0,1.0,True,True,4938.866745799193,0,0,0,1,0,1,0,0,0,0,0.98368704
364,2280355521,131337474,Peña Magdalena,Q131337474$e4b103d6-4c13-9d89-50dc-c9e2f82138dc,,625,coordinate location,"{""latitude"": 41.57334, ""longitude"": 3.198738}",,"{""latitude"": 41.57334, ""longitude"": -3.198738}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,532.0566860582014,1,1,0,0,0,0,1,6,1,5,0.98027503
368,1249122834,196701,Okinominamiiwa,Q196701$654A8DB4-B3D5-4E4E-A0D4-5375882DF872,,625,coordinate location,"{""latitude"": 25.75527778, ""longitude"": 123.5663889}",,"{""latitude"": 25.755, ""longitude"": 123.567125}",,globecoordinate,UPDATE,PROPERTY_VALUE,"disputed territory, island",Japanese island,,,"unrefinement, property_value_update",,1.0785362222605213e-05,5.957121564774187e-06,0.0,0.0,False,False,0.07992880995437912,1,1,0,1,0,1,1,2,1,3,0.9909418
374,1424964202,185072,Courland,Q185072$55e26d7c-495c-77ca-441b-97fabd7e7ed5,,625,coordinate location,"{""latitude"": 57, ""longitude"": 24}",,"{""latitude"": 57, ""longitude"": 22}",,globecoordinate,UPDATE,PROPERTY_VALUE,region,Historical and cultural region of Latvia,,,property_value_update,,0.0,0.08333333333333333,0.0,0.0,False,True,121.11786974440376,0,0,0,0,0,0,0,0,0,0,0.9946959
375,793875347,6465712,Çıplak,Q6465712$cbb47840-44c7-803f-1ec7-cdbd46442833,,625,coordinate location,"{""latitude"": 39.952222222222, ""longitude"": -26.261111111111}",,"{""latitude"": 39.952222222222, ""longitude"": 26.261111111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,4409.3480775020325,1,1,0,0,0,0,1,12,1,12,0.96834445
378,731979847,1045,Somalia,q1045$AE999D84-207C-48FF-9B03-AB4CE3CD35E5,,625,coordinate location,"{""latitude"": 8.316667, ""longitude"": 47.3}",,"{""latitude"": 6, ""longitude"": 47}",,globecoordinate,UPDATE,PROPERTY_VALUE,"country, federal republic, republic, sovereign state",sovereign state in Africa,,,"unrefinement, property_value_update",,0.2785571431440023,0.006342494714587678,0.0,0.0,True,False,259.7189738549586,0,0,0,1,0,1,0,0,0,0,0.9857283
379,390363178,32823,Seville Maritime Museum,Q32823$b58744f5-4352-fb05-ab2f-ac8e88bb8098,,625,coordinate location,"{""latitude"": 11.382441666667, ""longitude"": -5.9962944444444}",,"{""latitude"": 37.382441666667, ""longitude"": -5.9962944444444}",,globecoordinate,UPDATE,PROPERTY_VALUE,"maritime museum, naval museum","naval and maritime museum in Seville, Spain",,,property_value_update,,2.2842199205940057,0.0,0.0,0.0,True,False,2891.0680927585267,0,0,0,0,0,0,1,13,1,12,0.99054074
385,232330228,4782749,Aquarium Development,Q4782749$19E28870-4F1E-4A59-99A6-723D44A82BE8,,625,coordinate location,"{""latitude"": 42.359, ""longitude"": 71.0507}",,"{""latitude"": 42.359, ""longitude"": -71.0507}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,9860.358809242645,1,1,0,0,0,0,1,4,1,3,0.98182976
