revision_id,entity_id,value_id,property_id,change_target,property_label,old_value,old_value_label,new_value,new_value_label,label
3024705,8791,description,-2,,description,"""long distance passanger aircraft""",,"""long distance passenger aircraft""",,typo
3306173,9251,description,-2,,description,"""a constellation""",,"""constellation""",,formatting
3311841,9500,description,-2,,description,"""The governing body of association football in England""",,"""governing body of association football in England""",,formatting
3315127,9540,description,-2,,description,"""an italian comune""",,"""italian comune""",,formatting
3442946,9790,description,-2,,description,"""An emperor of the Tang Dynasty""",,"""emperor of the Tang Dynasty""",,formatting
3447944,10052,description,-2,,description,"""a municipality in the Netherlands""",,"""municipality in the Netherlands""",,formatting
3456660,10332,description,-2,,description,"""Bandung Regency is a regency of West Java Province, Indonesia.""",,"""regency of West Java Province, Indonesia""",,unrefinement
3584244,11149,description,-2,,description,"""A British national daily newspaper""",,"""British national daily newspaper""",,formatting
3694375,11711,description,-2,,description,"""A city in Cambodia""",,"""city in Cambodia""",,formatting
4329969,42848,description,-2,,description,"""Values belonging to a set of items.""",,"""values belonging to a set of items""",,formatting
5114581,14477,label,-1,,label,"""Lampa, Chile""",,"""Lampa""",,unrefinement
5318343,42710,label,-1,,label,"""Water buffalo""",,"""water buffalo""",,formatting
5421434,16101,description,-2,,description,"""A suburban city in Norfolk County, Massachusetts, United States""",,"""city in Norfolk County, Massachusetts, United States""",,unrefinement
5441175,43,description,-2,,description,"""A country in Southern Europe.""",,"""country in Southern Europe""",,formatting
5649994,1603,description,-2,,description,"""A state in the US Midwest""",,"""U.S. state in the Midwest""",,
5731844,17127,label,-1,,label,"""Reinsdorf, Saxony""",,"""Reinsdorf""",,unrefinement
5924805,419,q419$AF161359-F909-47FA-8DC9-9B5CC7168E42,36,,capital,"""Q13195""",lime,"""Q2868""",Lima,none
6020073,1000,q1000$299B2BDC-8BF1-403B-AC71-F232B6C3F091,30,,continent,"""Q4412""",West Africa,"""Q15""",Africa,value correction
6866642,18605,label,-1,,label,"""Flag of Staffordshire""",,"""flag of Staffordshire""",,formatting
7265206,25395,label,-1,,label,"""Newark, New Jersey""",,"""Newark""",,unrefinement
7274083,2915,label,-1,,label,"""Dairy cattle""",,"""dairy cattle""",,formatting
7371729,5794,description,-2,,description,"""A football club based in Liverpool, England.""",,"""football club based in Liverpool, England.""",,formatting
7615665,39470,description,-2,,description,"""American air-to-ground unguided rocket weapon, late 1940s""",,"""American air-to-ground unguided rocket weapon, 1944-1951""",,refinement
7799466,7380,description,-2,,description,"""a mammal of the order Primates""",,"""mammal of the order Primates""",,formatting
8228663,13792,description,-2,,description,"""Province of the Philippines.""",,"""province of the Philippines""",,formatting
8752366,16249,label,-1,,label,"""Province of Potenza""",,"""Potenza""",,unrefinement
9703610,35498,description,-2,,description,"""21st President of the United States""",,"""American politician, 21st president of the United States (in office from 1881 to 1885)""",,refinement
10315311,342,q342$F2DB8110-CB69-42D7-8986-A224685D58C9,31,,instance of,"""Q15284""",municipality,"""Q484170""",commune of France,type specialization
10623019,24447,description,-2,,description,"""village in Andoraa""",,"""village in Andorra""",,typo
10806271,935,q935$791ED530-2CE7-4D80-A9EA-C2842F243C50,101,,field of work,"""Q583561""",Alchemy,"""Q39689""",alchemy,link fix
10883210,39829,q39829$CEF303AB-511A-4D32-A280-948CE1FCC7CF,244,,Library of Congress authority ID,"""n/79/63767""",,"""n79063767""",,formatting
10894413,23572,description,-2,,description,"""AmericanTV series""",,"""American TV series""",,typo
11565077,22971,description,-2,,description,"""fictional character from Star Trek.""",,"""fictional character from Star Trek""",,formatting
11885839,1725,description,-2,,description,"""ity in the Philippines""",,"""city in the Philippines""",,typo
11995420,4356,description,-2,,description,"""A town in Schleswig-Holstein, Germany""",,"""town in Schleswig-Holstein, Germany""",,formatting
12771059,3267,description,-2,,description,"""Italian commune""",,"""Italian comune""",,language standardization
12772761,5683,description,-2,,description,"""An English poet""",,"""English poet""",,formatting
12773692,41020,description,-2,,description,"""an italian comune""",,"""Italian comune""",,formatting
12779906,9169,description,-2,,description,"""italian comune""",,"""Italian comune""",,formatting
12938391,3899,description,-2,,description,"""province of Indonesia""",,"""province in Indonesia""",,rewording
12960826,278,q278$4634A61F-555A-4072-8B54-6F2C20C0DDF1,31,,instance of,"""Q1851408""",,"""Q1251750""",distillery,none
13897752,3373,q3373$6630FD33-E781-4FB6-A4E0-13C31634A3B5,21,,sex or gender,"""Q44148""",male organism,"""Q6581097""",male,link fix
14206944,20881,q20881$8DDA63DF-FA4D-4440-B933-74DB64971776,31,,instance of,"""Q482994""",album,"""Q169930""",extended play,value correction
14737352,283,description,-2,,description,"""molecule composed of two atoms of hydrogen and one of oxygen.""",,"""molecule composed of two atoms of hydrogen and one of oxygen""",,formatting
14828827,886,q886$9637EBE8-193E-4F56-A56D-74C65369FC38,31,,instance of,"""Q15416""",television program,"""Q5398426""",television series,value correction
14891426,25773,description,-2,,description,"""roden""",,"""rodent""",,typo
14897198,25839,description,-2,,description,"""acto""",,"""actor""",,typo
16713859,6649,description,-2,,description,"""term describing sexual attraction between females.""",,"""term describing sexual attraction between females""",,formatting
16944962,7508,q7508$370FF811-DC07-455E-90A2-5B7B25AAAE0E,21,,sex or gender,"""Q43445""",female organism,"""Q6581072""",female,link fix
18683163,13244,description,-2,,description,"""A German-based creole language spoken primarily in Papua New Guinea""",,"""German-based creole language spoken primarily in Papua New Guinea""",,formatting
19006489,4186,q4186$DBD73B14-73AF-4C7F-8403-E7DF6AD08F62,31,,instance of,"""Q8502""",mountain,"""Q674541""",low mountain range,value correction
20594495,1673,description,-2,,description,"""river in Germany""",,"""right tributary of Rhine river in Germany""",,refinement
20900552,29848,label,-1,,label,"""1883-84 British Home Championship""",,"""1883–84 British Home Championship""",,formatting
21886275,13204,label,-1,,label,"""Citronnade""",,"""citronnade""",,formatting
21966346,1156,q1156$581C9C80-84C8-494A-A601-83358D4B8DD6,31,,instance of,"""Q5119""",capital city,"""Q515""",city,value correction
23628176,26568,description,-2,,description,"""a variety of shrubs, trees, and herbs""",,"""variety of shrubs, trees, and herbs""",,formatting
23650928,28111,label,-1,,label,"""Township""",,"""township""",,formatting
23936246,7917,q7917$099656A3-8388-45EB-829C-EAC4286F8D52,150,,contains the administrative territorial entity,"""Q1973855""",Neckarsteinach,"""Q629101""",Mörlenbach,
24743570,25276,description,-2,,description,"""variants of a particular chemical element""",,"""variant of a particular chemical element""",,typo
24970820,42841,description,-2,,description,"""An existing holder of a political office.""",,"""An existing holder of a political office""",,formatting
26205918,16082,description,-2,,description,"""town in Wetteraukreis, Hessen, Germany""",,"""town in Wetteraukreis in Hesse, Germany""",,formatting
26279363,18654,label,-1,,label,"""Psychogenic amnesia""",,"""Psychogenic amnesia@""",,typo
26406579,33272,label,-1,,label,"""Sóc Trăng Province""",,"""Sóc Trăng""",,unrefinement
26568465,19546,description,-2,,description,"""Bishop of Rome, leader of the worldwide Catholic Church, and head of state of the Vatican City""",,"""bishop of Rome, leader of the worldwide Catholic Church, and head of state of the Vatican City""",,formatting
27529183,42297,label,-1,,label,"""Analysis of variance""",,"""analysis of variance""",,formatting
28974912,7070,q7070$CC4F309C-B370-4C5A-9CA1-FB90AE436243,132,,,"""Q3957""",town,"""Q22865""",independent city of Germany,refinement
30250987,401,label,-1,,label,"""Cuneiform""",,"""cuneiform""",,formatting
30589316,32457,q32457$02DC3C59-9B26-4744-969C-96BFF34421CB,107,,,"""Q4167410""",Wikimedia disambiguation page,"""Q11651459""",,none
31039414,3783,q3783$FF1AB065-7F80-405C-9698-C208205374B3,31,,instance of,"""Q4022""",river,"""Q573344""",main stem,type specialization
31474174,5432,label,-1,,label,"""Francicso de Goya""",,"""Francisco de Goya""",,typo
32630478,15799,description,-2,,description,"""MIllonarios, Los Millo, La Banda""",,"""MIllonarios, Los Millo, La Banda ,""",,typo
33763716,39383,description,-2,,description,"""municipality in Nordland, Norway""",,"""city and municipality in Nordland, Norway""",,refinement
34538058,21102,description,-2,,description,"""breed of dog""",,"""dog breed""",,
34954488,34058,q34058$3F8CC9D0-D07C-4058-8A16-DFFF219B1522,242,,locator map image,"""File:Map of comune of Acate (province of Ragusa, region Sicily, Italy).svg""",,"""Map of comune of Acate (province of Ragusa, region Sicily, Italy).svg""",,formatting
34989179,34858,q34858$E8C1B13C-2172-418B-BED0-B2646DB181D6,242,,locator map image,"""File:Map of comune of Bionaz (region Aosta Valley, Italy).svg""",,"""Map of comune of Bionaz (region Aosta Valley, Italy).svg""",,formatting
34993647,6526,q6526$11C05F7C-CE9B-4552-B3C7-13027FAA32CE,242,,locator map image,"""File:Cartina Comune BZ Bolzano.png""",,"""Cartina Comune BZ Bolzano.png""",,formatting
34994030,43069,q43069$CCF1ECD0-A47A-4C48-90E4-E249759C0F4B,242,,locator map image,"""File:Map of comune of Bonemerse (province of Cremona, region Lombardy, Italy).svg""",,"""Map of comune of Bonemerse (province of Cremona, region Lombardy, Italy).svg""",,formatting
35091857,34443,q34443$DB53D072-0AE1-49FC-8040-4ABF433441F9,242,,locator map image,"""File:Map of comune of Campodoro (province of Padua, region Veneto, Italy).svg""",,"""Map of comune of Campodoro (province of Padua, region Veneto, Italy).svg""",,formatting
36008513,11653,q11653$61f7882b-46fa-6a7b-60cb-c01f08d79934,279,,subclass of,"""Q3749263""",electrical device,"""Q39546""",physical tool,type unrefinement
36525077,33513,description,-2,,description,"""the alphabet of the Hebrew language""",,"""alphabet of the Hebrew language""",,formatting
38648132,2172,description,-2,,description,"""former Tour de France winner whose awards were revoked due to doping""",,"""former 7 times Tour de France winner whose awards were revoked due to doping and the founder of the Livestrong Foundation""",,refinement
39311962,14963,q14963$70035F54-4112-4138-9A45-09AFACD20325,373,,Commons category,"""rocking chairs""",,"""Rocking chairs""",,formatting
39314123,1561,q1561$C64D2C83-7DC7-4DF0-97DA-71F08E3074D3,373,,Commons category,"""HafenCity""",,"""Hamburg-HafenCity""",,refinement
39315770,15849,q15849$FE9782DD-5A72-45F5-94F2-EBCDC0AA35D8,373,,Commons category,"""José Manuel Durão Barroso""",,"""José Manuel Barroso""",,unrefinement
39325341,18836,q18836$D4DA6BC2-FBB4-4640-90EE-F1E5F223A832,373,,Commons category,"""Turnix sylvaticus""",,"""Turnix sylvatica""",,none
39333019,21036,q21036$275BF69D-6A6C-430F-95FF-906C2C5791AE,373,,Commons category,"""Armeria_maritima""",,"""Armeria maritima""",,none
39604327,27175,q27175$6DC64601-FE48-4FE6-B554-A064F7E4A53D,282,,writing system,"""Q41670""",Latin alphabet,"""Q8229""",Latin script,value correction
40632227,17159,label,-1,,label,"""Amphiboles""",,"""amphiboles""",,formatting
41086381,13113,label,-1,,label,"""Sonolite""",,"""sonolite""",,formatting
41718258,15897,description,-2,,description,"""English singer and songwriter.""",,"""English singer and songwriter""",,formatting
42754745,18022,q18022$4829A68D-EC95-4FB0-B6CA-6FA466A5B1BE,18,,image,"""pan bioglio da pettinengo.jpg""",,"""Pan bioglio da pettinengo.jpg""",,formatting
43305976,36738,description,-2,,description,"""Constructed langauge""",,"""Constructed language""",,typo
45019762,1224,description,-2,,description,"""Italian politician and President""",,"""10° President of the Italian Republic.""",,refinement
46329059,9022,description,-2,,description,"""City in Mexico""",,"""city in Mexico""",,formatting
46413577,3718,q3718$89E61B03-0A7B-4BFB-B870-A7B45AB19707,31,,instance of,"""Q494721""",city of Japan,"""Q515""",city,type unrefinement
46932572,30963,description,-2,,description,"""capital of Norfolk Island""",,"""capital of Norfolk Island, Australia""",,refinement
47326936,40602,q40602$84301281-1456-4572-AE6B-3F3DE129415E,132,,,"""Q15284""",municipality,"""Q5153359""",municipality of the Czech Republic,refinement
50873732,13880,description,-2,,description,"""Open cluster""",,"""open cluster in the constellation Auriga""",,refinement
52141849,764,description,-2,,description,"""organisms of kingdom Fungi""",,"""organism of kingdom Fungi""",,formatting
53117814,17953,description,-2,,description,"""Formal terminology related to one or more branches of critical theory""",,"""formal terminology related to one or more branches of critical theory""",,formatting
53363547,38911,label,-1,,label,"""Regions of the Czech Republic""",,"""region of the Czech Republic""",,formatting
53983353,11023,description,-2,,description,"""the science, skill, and profession of acquiring and applying scientific, economic, social, and practical knowledge, in order to design and also build structures, machines, devices, systems, materials and processes""",,"""application of knowledge to produce systems""",,unrefinement
54626433,12004,label,-1,,label,"""Qurcus""",,"""Quercus""",,typo
56126749,11147,description,-2,,description,"""senior justice of the Supreme Court of the United States.""",,"""senior justice of the Supreme Court of the United States""",,formatting
56267706,26431,q26431$5411B516-08B6-4317-BC7B-62FDED180872,74,,,"""Q3325926""",Circinae,"""Q207796""",Circus,refinement
57024962,5812,q5812$5b9b9ccf-4a6e-4c5f-ba99-a54ccd009e60,564,,singles record,"""502-128""",,"""508-129""",,none
57249305,29840,description,-2,,description,"""municipality in Switzerland""",,"""municipality in Graubünden, Switzerland""",,refinement
57680461,14563,description,-2,,description,"""A municipality in the canton of Lucerne in Switzerland""",,"""municipality in the canton of Lucerne in Switzerland""",,formatting
58847136,4244,description,-2,,description,"""wikipedia category""",,"""Wikipedia category""",,formatting
59036452,31094,q31094$F3C64D62-7A03-4562-9017-BC31455C4DB1,17,,country,"""Q18097""",Korea,"""Q884""",South Korea,value correction
60542318,6612,q6612$F5E4543B-DF2C-45CF-97AD-5A7DE3D8F269,107,,,"""Q1969448""",term,"""Q215627""",person,none
61264733,34002,description,-2,,description,"""Indonesian languag""",,"""Indonesian language""",,typo
61857693,4523,description,-2,,description,"""Elamite complex in the Khuzestan province of Iran""",,"""elamite complex in the Khuzestan province of Iran""",,formatting
62535149,34687,label,-1,,label,"""rose""",,"""Rosa""",,language standardization
64034557,14107,q14107$F76A1568-28CF-4FB6-B89B-98DCC78F1446,106,,occupation,"""Q1028181""",painter,"""Q483501""",artist,unrefinement
64556087,19359,description,-2,,description,"""Year""",,"""year""",,formatting
65884259,8146,q8146$B2DAA3AD-238C-4869-841E-14E575C28C4F,370,,Sandbox-String,"""130.17""",,"""130.48""",,none
66730848,16875,q16875$2BEEB8A8-F69E-401B-B645-3B0CF177D3B9,421,,located in time zone,"""Q410147""",+1,"""Q6655""",UTC+01:00,refinement
66732431,588,q588$ed5be065-41ea-147f-9064-57c4defffb23,244,,Library of Congress authority ID,""" n79148228""",,"""n79148228""",,formatting
66808691,25797,q25797$0a5025ac-4fd0-800d-9f1b-10b8c5cb2a5d,131,,located in the administrative territorial entity,"""Q184228""",Žilina region,"""Q836201""",Žilina District,refinement
68312028,23922,q23922$219757BB-44BD-4CA8-948A-A95DAB35BDA5,31,,instance of,"""Q11629""",art of painting,"""Q3305213""",painting,value correction
69776916,24190,label,-1,,label,"""Neurotrophin-3""",,"""neurotrophin 3""",,formatting
70250168,321,description,-2,,description,"""spiral galaxy containing the solar system""",,"""spiral galaxy in the Local Group containing the Solar System""",,refinement
70831154,14847,label,-1,,label,"""Canton de Liernais""",,"""Canton of Liernais""",,typo
70887304,26820,label,-1,,label,"""Canton de Pellegrue""",,"""Canton of Pellegrue""",,typo
71508856,24952,description,-2,,description,"""commune in France""",,"""commune in Côte-d'Or, France""",,refinement
72087578,21818,description,-2,,description,"""commune in France""",,"""commune in Moselle, France""",,refinement
72103870,37162,description,-2,,description,"""commune in France""",,"""commune in Nièvre, France""",,refinement
72307945,9740,description,-2,,description,"""commune of New Caledonia""",,"""commune in New Caledonia""",,rewording
74655675,2998,q2998$BB9F9DB5-BED5-4DF2-8C3E-7147780F775A,31,,instance of,"""Q215627""",person,"""Q5""",human,type specialization
75752814,28030,Q28030$0ADDDA84-2538-4591-AE98-5A13F05C6D0D,242,,locator map image,"""Ph_locator_abra_bucloc.png""",,"""Ph locator abra bucloc.png""",,formatting
77667547,28244,label,-1,,label,"""Amharic language""",,"""Amharic""",,unrefinement
81086398,13106,description,-2,,description,"""Phosphate mineral""",,"""phosphate mineral""",,formatting
83426001,25656,label,-1,,label,"""Death of Baby Petter""",,"""Death of Baby Peter""",,typo
86325934,7803,Q7803$69c07b16-47af-d7f0-626e-870dc0047dfc,106,,occupation,"""Q483501""",artist,"""Q1028181""",painter,refinement
86574795,1461,Q1461$387A1B5C-3713-4D02-B08F-E16C070B09F9,935,,Commons gallery,"""Maynila""",,"""Manila""",,typo
87018542,2487,description,-2,,description,"""A series of wars principally fought in Central Europe""",,"""series of wars principally fought in Central Europe""",,formatting
87026940,8420,description,-2,,description,"""Games of the XVIII Olympiad, celebrated in Tokyo (Japan) in 1964""",,"""games of the XVIII Olympiad, celebrated in Tokyo in 1964""",,unrefinement
87438585,33000,Q33000$95b588cf-407f-60fc-ebf1-45809ea6e030,373,,Commons category,"""Category:British Sign Language""",,"""British Sign Language""",,unrefinement
87879104,26240,label,-1,,label,"""Centimetre–gram–second system of units""",,"""centimetre–gram–second system of units""",,formatting
87986480,573,Q573$bff309b7-466b-ca38-9b77-4d11c1559364,527,,has part(s),"""Q573""",day,"""Q16491""",daylight,value correction
88063497,18,q18$cfb1a24d-4b09-84a9-1261-341196556292,361,,part of,"""Q2""",Earth,"""Q828""",Americas,refinement
88491007,23082,q23082$8175223A-B9F1-44BB-94FF-A5F3A9DE81E8,41,,flag image,"""Flag of County Durham.svg""",,"""Flag of Durham County Council.svg""",,unrefinement
88998351,5592,description,-2,,description,"""Italian sculptor, painter, architect, poet and engineer""",,"""Italian sculptor, painter and architect""",,unrefinement
89224706,30113,label,-1,,label,"""Jeep""",,"""jeep""",,formatting
89743616,24716,description,-2,,description,"""ship""",,"""1940 Flower-class corvette""",,refinement
91787412,595,Q595$A1B4B0EF-EB80-4F6E-976F-1376A3773EF7,495,,country of origin,"""Q142""",France,"""Q869""",Thailand,none
92797152,31305,description,-2,,description,"""chocolate bar""",,"""chocolate bar brand""",,refinement
93883021,12388,description,-2,,description,"""wikipedia template""",,"""Wikipedia template""",,formatting
93883369,14796,label,-1,,label,"""Template: Location map Guinea-Bissau""",,"""Template:Location map Guinea-Bissau""",,formatting
94184010,7778,label,-1,,label,"""History of France""",,"""history of France""",,formatting
96201588,34436,Q34436$6F2D240F-6791-40A6-9B1B-3CBA7FFB8595,409,,Libraries Australia ID,"""000041025680""",,"""41025680""",,formatting
96203388,7327,Q7327$4204DACC-0BF7-44F7-B9D3-B671A876B6FC,409,,Libraries Australia ID,"""000035108995""",,"""35108995""",,formatting
96887402,25503,description,-2,,description,"""1981 French film""",,"""1981 Film directed by Jacques Rivette""",,refinement
97190194,610,description,-2,,description,"""island of the west coast of Scotland""",,"""island off the west coast of Scotland""",,typo
98468062,27567,q27567$A3F07D2A-15F5-43EA-B6B0-16B4E1D0C0AD,31,,instance of,"""Q4113741""",language,"""Q34770""",language,link fix
98678204,1773,q1773$6664EEDA-1012-488F-9D24-280EC9D7647A,131,,located in the administrative territorial entity,"""Q745303""",Vidzeme,"""Q211""",Latvia,value correction
99125161,14793,Q14793$242DE208-4FB3-4CC7-B283-2A01E8E290CE,409,,Libraries Australia ID,"""000035531680""",,"""35531680""",,formatting
99710938,28796,label,-1,,label,"""Town (Safonovskyy District)""",,"""Gorodok""",,value correction
100857010,2371,description,-2,,description,"""cruise ship""",,"""Solstice-class cruise ship""",,refinement
101615641,18279,label,-1,,label,"""сantons of the Federation of Bosnia and Herzegovina""",,"""сanton of the Federation of Bosnia and Herzegovina""",,typo
101791696,6157,q6157$d61c75f8-4dcc-ac01-d7f2-09aa5afef1fa,31,,instance of,"""Q15284""",municipality,"""Q856076""",municipality of Finland,type specialization
102880322,6527,Q6527$E84A7643-447C-42AB-995A-4427F43E615F,396,,SBN author ID,"""IT\\ICCU\\CFIV|006663""",,"""IT\\ICCU\\CFIV\\006663""",,formatting
103085421,23567,q23567$598DFF8F-ECC6-423D-B482-0DA05622A2E5,58,,screenwriter,"""Q158618""",Carlton Cole,"""Q443440""",Carlton Cuse,value correction
103243703,27448,Q27448$9606880f-49c3-4d52-e9f5-dc8b5787f80d,279,,subclass of,"""Q643589""",department,"""Q1806767""",departamento,link fix
103453837,23907,label,-1,,label,"""beetah""",,"""cheetah""",,typo
103456198,6858,Q6858$88D61621-26A7-439D-BBBF-FB4A9A059183,227,,GND ID,"""2021041-3""",,"""4043346-8""",,none
103542146,34426,Q34426$F03AD4C6-5B69-483F-AA5C-731B97593DF7,18,,image,"""Coat_of_Arms_of_Jordan.svg""",,"""Coat of Arms of Jordan.svg""",,formatting
104335025,18583,label,-1,,label,"""Progressive nonfluent aphasia""",,"""progressive nonfluent aphasia""",,formatting
104964812,8255,description,-2,,description,"""Wikipedia category""",,"""Wikimedia category page""",,refinement
105571378,27491,Q27491$DC58211E-AAB7-48C1-8E3B-F9CCB8010808,31,,instance of,"""Q43229""",organization,"""Q2324556""",state media,type specialization
105918490,29561,description,-2,,description,"""A language belonging to the Avar–Andic group of the Northeast Caucasian language family""",,"""language belonging to the Avar–Andic group of the Northeast Caucasian language family""",,formatting
106934264,19088,q19088$E4D6DE0F-A27E-4965-9B2D-18A6BB47F73E,279,,subclass of,"""Q7239""",organism,"""Q3""",life,none
107716007,11106,description,-2,,description,"""Cured meat from a pig""",,"""cured meat from a pig""",,formatting
109262676,19121,label,-1,,label,"""lamedh""",,"""Lamed""",,formatting
110032890,343,description,-2,,description,"""a commune in France""",,"""commune in France""",,formatting
110657146,20629,Q20629$09A6002D-9FB9-4252-B1B2-AB44F8490728,18,,image,"""Morsum_Bahnhof.jpg""",,"""Morsum Bahnhof.jpg""",,formatting
111192261,16375,q16375$A170AE91-A7ED-4244-BAE6-9BA44EFC9DD4,360,,is a list of,"""Q95074""",character,"""Q15773317""",television character,refinement
111782380,844,description,-2,,description,"""serios about a fictional British spy""",,"""series about a fictional British spy""",,typo
112317872,2380,Q2380$39FB0642-A9E9-463F-BDFC-52B2D8B257B4,31,,instance of,"""Q387917""",administrative divisions of Germany,"""Q15830667""",quarter of Hamburg,refinement
112898609,25457,Q25457$9C4BDF20-89E3-462B-9A66-358164407B08,18,,image,"""Stora_torget_i_Karlstad.jpg""",,"""Stora torget i Karlstad.jpg""",,formatting
114628071,2095,description,-2,,description,"""any substance consumed to provide nutritional support for the body""",,"""any substance consumed to provide nutritional support for the body. For prepared ready-to-eat food, use dish: Q746549.""",,refinement
116874594,42369,description,-2,,description,"""annual film festival held in Cannes, France""",,"""Annual film festival held in Cannes, France""",,formatting
117731477,7411,label,-1,,label,"""Dutch""",,"""Dutch Language""",,refinement
117755800,13429,Q13429$F161F340-84F4-40E8-A9AB-BAD3A6B30ADD,31,,instance of,"""Q523""",star,"""Q5875""",giant star,type specialization
117949854,674,label,-1,,label,"""phosphorus""",,"""agphosphorus""",,typo
118074933,10460,Q10460$7c072494-466f-329b-f3b1-bcd53b6e8e61,31,,instance of,"""Q8928""",constellation,"""Q9262""",asterism,type unrefinement
118235687,6655,Q6655$0d055796-4fef-4871-818c-401ff178b49e,31,,instance of,"""Q12143""",time zone,"""Q187110""",UTC offset,value correction
118362117,39121,q39121$117C760E-696A-478D-8B54-5B9693A71E26,131,,located in the administrative territorial entity,"""Q23083""",West Yorkshire,"""Q6516174""",Leeds city centre,value specification
119412905,19821,Q19821$b3cfb63e-471a-a070-fa1e-44190236e373,279,,subclass of,"""Q16102211""",cyclic polygon,"""Q4903575""",bicentric polygon,type specialization
122291261,25062,description,-2,,description,"""species of plant, Common rue""",,"""species of plant in the Rutaceae family""",,"value generalization, rewording"
