revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,main_entity_type,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity
2248675735,184572,Martin Sheen,Q184572$BE586A85-47FE-4F54-88A8-5B0CB3C3E891,,106,occupation,"""Q16323111""",peace activist,"""Q15253558""",activist,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""American actor (born 1940)""","person working with promoting or impeding, or causing social, political, economic, or environmental change",activist focused on avoiding war,unrefinement,
1396003420,326446,Antonin Klášterský,q326446$C1D9E3BE-CB24-4DF4-8983-35EEB0B8C984,,119,place of burial,"""Q118967""",Vyšehrad cemetery,"""Q3562646""",Slavín,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Czech poet and translator""","Monumental tomb in Prague, Czech Republic","""cemetery in Prague, Czech Republic""",refinement,
480248574,58754,Doha International Airport,q58754$314e2043-4a69-29d0-80bc-1dadbcdbc896,,31,instance of,"""Q644371""",international airport,"""Q1248784""",airport,wikibase-entityid,UPDATE,PROPERTY_VALUE,"aerodrome, international airport","""international airport serving Doha, Qatar""","location where aircraft take off and land with extended support facilities, mostly for commercial air transport",airport serving international destinations,unrefinement,
2002662944,96958,Lea Ackermann,Q96958$9fe54d01-47d4-b13b-f927-e695c2c6b6d1,,106,occupation,"""Q28692502""",women's rights activist,"""Q15253558""",activist,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German Roman Catholic nun and anti-forced-prostitution activist (1937–2023)""","person working with promoting or impeding, or causing social, political, economic, or environmental change",person who advocates women's rights,unrefinement,
8020903,115459,Chatham Islands,q115459$AD1E1111-8F18-4F44-9D22-2969D6385A8C,,132,type of administrative division,"""Q1136601""",unitary authority area in England,"""Q1160920""",unitary authority,wikibase-entityid,UPDATE,PROPERTY_VALUE,island group,"""New Zealand's most remote group of inhabited islands""",type of local government body that covers two levels of government,"local government area in some parts of England, goverened by a unitary authority",unrefinement,
2294173359,251181,Adrar,q251181$525F6002-E72D-4F29-9A03-6D80F92993A2,,131,located in the administrative territorial entity,"""Q2083018""",Adrar District,"""Q131624555""",Adrar,wikibase-entityid,UPDATE,PROPERTY_VALUE,"average city, city, human settlement","""сapital city of Adrar Province, Algeria""","commune in Adrar Province, Algeria","District of Adrar Province, Algeria",refinement,
214298073,154311,Dennis Aogo,Q154311$EE1F9169-B1F3-4573-B5C5-5CB99899CB8A,,735,given name,"""Q18755446""",Dennis,"""Q639292""",Dennis,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German association football player""",male given name,male given name,link_change,
2189704453,152547,hagelslag,Q152547$2E0BB1B8-D100-41BF-9D6B-AA315B70A97B,,279,subclass of,"""Q185583""",candy,"""Q97371416""",sprinkles,wikibase-entityid,UPDATE,PROPERTY_VALUE,"confection, spread, sprinkles","""candy topping""",tiny multi-colored candy topping,"""confection made with sugar""",property_value_update,
1333283416,267169,North Fork Flathead River,Q267169$6C5586BD-7E4B-447B-ADC7-EA0A9E1A9FEB,,131,located in the administrative territorial entity,"""Q1212""",Montana,"""Q496607""",Flathead County,wikibase-entityid,UPDATE,PROPERTY_VALUE,river,"""river in Flathead County, Montana, United States and British Columbia, Canada""","county in Montana, United States","""state of the United States of America""",refinement,
2340440234,272519,Arthur Lewis,Q272519$367A8604-5322-4607-808D-B5AC225DCB5F,,106,occupation,"""Q121594""",professor,"""Q1622272""",university teacher,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Saint Lucian economist (1915–1991)""",person teaching at a university or college,"""academic position at universities and other education and research institutions""",refinement,
1984247032,135979,1105 Fragaria,Q135979$49E0F353-45A7-4F8A-84E2-167FD3B62C6B,,793,significant event,"""Q83478504""",naming,"""Q25488743""",naming,wikibase-entityid,UPDATE,PROPERTY_VALUE,asteroid,"""asteroid""",assigning a name to something,assigning a name to something,link_change,
1733134871,44272,Michel Foucault,Q44272$35CC9EB5-3FE1-400B-BB55-B68FE34FA09B,,509,cause of death,"""Q12199""",AIDS,"""Q5949512""",Juan Francisco Borges,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""French philosopher (1926–1984)""",Argentinian military personnel,"""spectrum of conditions caused by HIV infection""",property_value_update,
648794730,264918,Arthur de Gobineau,Q264918$A8D44ED3-3A89-495E-B1F7-BA28DC3A38E9,,39,position held,"""Q121998""",ambassador,"""Q1133920""",minister plenipotentiary,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""French diplomat and writer known for racial theories (1816–1882)""",minister plenipotentiary,"""highest diplomatic rank""",property_value_update,
713633608,78926,Viktor Kaplan,Q78926$98E86643-10DC-4BC5-A0E3-B7BB614DBF74,,509,cause of death,"""Q12202""",stroke,"""Q1368943""",cerebral hemorrhage,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Austrian-Czech engineer and inventor""",type of intracranial hemorrhage that occurs within the brain tissue itself,"""death of a region of brain cells due to poor blood flow""",refinement,
1574848401,374316,Symphonic Studies,Q374316$B9DB7A18-EA6B-4B7C-B334-3D619E330B56,,31,instance of,"""Q207841""",étude,"""Q17518879""",collection of études,wikibase-entityid,UPDATE,PROPERTY_VALUE,musical work/composition,"""set of piano études by Robert Schumann""",,"""instrumental musical composition, usually short, designed to provide practice material for perfecting a particular musical skill""",property_value_update,
627422575,243392,Le Pin,q243392$168CD98D-BA75-4EF2-9F21-C169032F3AAE,,131,located in the administrative territorial entity,"""Q122885""",canton of Claye-Souilly,"""Q17623423""",canton of Villeparisis,wikibase-entityid,UPDATE,PROPERTY_VALUE,commune of France,"""commune in Seine-et-Marne, France""",canton of France,"""canton of France""",property_value_update,
1541785574,284585,Al-Wathiq,Q284585$24B48125-2C16-4E63-9DD1-CE7110D4CD03,,53,family,"""Q12536""",Abbasid Caliphate,"""Q4437641""",Abbasids,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""9th Abbasid Caliph (r. 812–847)""",Muslim Hijaz dynasty,"""third Islamic caliphate (750–1258)""",property_value_update,
1517387344,74042,Guy Béart,Q74042$88705421-1589-4749-b378-b6bf655702c7,,119,place of burial,"""Q12543""",Hauts-de-Seine,"""Q83376011""",Cemetery of Garches,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""French singer (1930-2015)""","cemetery located in Hauts-de-Seine, in France","""French department""",refinement,
563199961,172364,Chris Lawrence,Q172364$8AD6512B-1672-4608-A8DD-10EA9F1AE308,,106,occupation,"""Q15731008""",car designer,"""Q11295636""",car designer,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""racecar driver""",professional responsible for designing the appearance and ergonomics of cars,professional responsible for designing the appearance and ergonomics of cars,link_change,
1527436695,426283,Hunting High and Low,Q426283$3C8CE061-A56C-4284-BDB6-9415FC3A2E1E,,264,record label,"""Q126399""",Warner Bros.,"""Q843402""",Warner Bros. Records,wikibase-entityid,UPDATE,PROPERTY_VALUE,album,"""1985 debut studio album by A-ha""",former American record label (1958 to 2019),"""American entertainment company""",refinement,
72877989,69269,Bissone,q69269$36526E19-26DB-4989-86B9-E60E5A5361A1,,131,located in the administrative territorial entity,"""Q12724""",canton of Ticino,"""Q1054966""",Ceresio Subdistrict,wikibase-entityid,UPDATE,PROPERTY_VALUE,municipality of Switzerland,"""municipality in the canton of Ticino in Switzerland""","subdistrict of the canton of Ticino, Switzerland (circolo)","""canton of Switzerland""",refinement,
2290564958,70485,Coffrane,q70485$6D0C279E-E22F-452A-833F-FABC516343B0,,131,located in the administrative territorial entity,"""Q12738""",canton of Neuchâtel,"""Q2507659""",Val-de-Ruz,wikibase-entityid,UPDATE,PROPERTY_VALUE,"former municipality of Switzerland, neighborhood, village","""village and former municipality in Val-de-Ruz in the canton of Neuchâtel, Switzerland""","municipality in the canton of Neuchâtel, Switzerland","""canton of Switzerland""",refinement,
1939639981,9387,Max Weber,Q9387$e14cdf2e-4e82-b12b-7991-191f1ce529b5,,735,given name,"""Q2529610""",Karl,"""Q15731830""",Karl,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German sociologist, philosopher, and political economist (1864–1920)""",male given name,male given name,link_change,
1514119832,68904,Ropraz,q68904$95812703-287D-41A2-B440-F48C76C9085C,,131,located in the administrative territorial entity,"""Q12771""",canton of Vaud,"""Q495882""",Broye-Vully District,wikibase-entityid,UPDATE,PROPERTY_VALUE,municipality of Switzerland,"""municipality in Switzerland""","district of the canton of Vaud, Switzerland","""canton of Switzerland""",refinement,
1013698849,464934,Alf Ahlberg,q464934$9E73917C-6D6D-4397-AD50-D8F27B906C3C,,19,place of birth,"""Q503050""",Laholms församling,"""Q10553372""",Laholms församling,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""writer, humanist, philosopher (1892–1979)""",parish in the diocese of Göteborg,"urban area in Laholm Municipality, Sweden",link_change,
293719293,208228,Stade de Reims,q208228$01CD6FA8-58E9-4EE6-8360-B80FB8815056,,286,head coach,"""Q128782""",Hubert Fournier,"""Q3351091""",Olivier Guégan,wikibase-entityid,UPDATE,PROPERTY_VALUE,"association football club, association football team","""French association football club""",French football player and manager,"""French association football manager and former player""",property_value_update,
616268222,380832,Aello,Q380832$c5b857ff-4f6b-18ba-a3d8-501283f837f6,,25,mother,"""Q131651""",Electra,"""Q1438693""",Electra,wikibase-entityid,UPDATE,PROPERTY_VALUE,mythical creature,"""one of the Harpy sisters in Greek mythology""",one of the Oceanids; daughter of Oceanus and Tethys,"""daughter of Agamemnon""",link_change,
